2025-09-10 07:15:38 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-09-10 07:15:38 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w10.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.42s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.53s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.54s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.01s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.19s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:34,  3.93s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:00,  2.61s/it]Evaluation:  12%|█▏        | 3/25 [00:10<01:18,  3.58s/it]Evaluation:  16%|█▌        | 4/25 [00:12<01:04,  3.09s/it]Evaluation:  20%|██        | 5/25 [00:13<00:48,  2.43s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:41,  2.17s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:35,  1.97s/it]Evaluation:  32%|███▏      | 8/25 [00:20<00:39,  2.35s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:35,  2.25s/it]Evaluation:  40%|████      | 10/25 [00:28<00:49,  3.32s/it]Evaluation:  44%|████▍     | 11/25 [00:30<00:44,  3.16s/it]Evaluation:  48%|████▊     | 12/25 [00:32<00:35,  2.73s/it]Evaluation:  52%|█████▏    | 13/25 [00:34<00:29,  2.46s/it]Evaluation:  56%|█████▌    | 14/25 [00:36<00:24,  2.24s/it]Evaluation:  60%|██████    | 15/25 [00:38<00:23,  2.33s/it]Evaluation:  64%|██████▍   | 16/25 [00:40<00:20,  2.24s/it]Evaluation:  68%|██████▊   | 17/25 [00:44<00:20,  2.62s/it]Evaluation:  72%|███████▏  | 18/25 [00:45<00:15,  2.17s/it]Evaluation:  76%|███████▌  | 19/25 [00:47<00:12,  2.12s/it]Evaluation:  80%|████████  | 20/25 [00:51<00:14,  2.86s/it]Evaluation:  84%|████████▍ | 21/25 [00:53<00:10,  2.59s/it]Evaluation:  88%|████████▊ | 22/25 [00:57<00:08,  2.88s/it]Evaluation:  92%|█████████▏| 23/25 [01:08<00:10,  5.26s/it]Evaluation:  96%|█████████▌| 24/25 [01:13<00:05,  5.35s/it]Evaluation: 100%|██████████| 25/25 [01:20<00:00,  5.85s/it]Evaluation: 100%|██████████| 25/25 [01:20<00:00,  3.24s/it]
2025-09-10 07:17:15 INFO: - ====================== Evaluation Results ======================
2025-09-10 07:17:15 INFO: - n_context: 5
2025-09-10 07:17:15 INFO: - context_type: documents
2025-09-10 07:17:15 INFO: - {'exact_match': 0.33, 'f1': 0.37714285714285717, 'precision': 0.3733333333333333, 'recall': 0.3833333333333333, 'avg_num_tokens': 411.31}
2025-09-10 07:17:15 INFO: - ================================================================
yes 	 ['no']
October 10, 1890 	 ['February 22, 1893']
yes 	 ['no']
April 10, 1943 	 ['12 April 1942']
A heart attack. 	 ['hanging']
Swerve (Film) 	 ['Innale']
April 10, 1363 	 ['8 April 1364']
Yes. 	 ['no']
July 4, 2003 	 ['August 20, 2004']
Yes. 	 ['no']
Humphrey Bogart 	 ['Lucien Guitry']
No. 	 ['yes']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Kolkata, India 	 ['Asahikawa']
10 February 1927 	 ['4 December 1922']
The United Kingdom. 	 ['India']
Robert De Niro 	 ['Irwin Winkler']
Yes. 	 ['no']
Canada 	 ['American']
January 5, 1973 	 ['July 10, 1972']
Worthing, Sussex. 	 ['Worthing']
Half Past Dead (2002) 	 ['Half Past Dead']
Downtown Rumble (Tv Series) 	 ['Ekk Deewana Tha']
January 8, 1820 	 ['November 17, 1808']
Paris 	 ['Melbourne']
Yes. 	 ['no']
Tell Me I'M Dreaming 	 ['An Odyssey Of The North']
Paris 	 ['Žilina']
Umberto Louzer 	 ['Salvatore Lanna']
'Amor a primera vista' 	 ['The Cuban Love Song']
Maya Bazaar (1995 Film) 	 ['3688']
February 29, 1976 	 ['March 11, 1975']
Quentin Braat. 	 ['Simeon T. Josselyn']
Stockholm, Sweden. 	 ['Eisenach']
April 17, 1942 	 ['7 May 1940']
A Gentleman of France (1921) 	 ['A Gentleman Of France']
yes 	 ['no']
Yes. 	 ['no']
April 4, 1958 	 ['4 April 1957']
Iranian 	 ['India']
John Travolta. 	 ['Anne Brooksbank']
No. 	 ['yes']
Yes. 	 ['no']
Gustavo Couttolenc. 	 ['Peter Diversi']
July 19, 1967 	 ['20 June 1968']
Italy 	 ['American']
November 1, 1690 	 ['1 November 1680']
No. 	 ['yes']
Yes 	 ['no']
Los Angeles 	 ['Auckland']
Leopoldo Penna Franca 	 ['Hermann Speelmans']
from a heart attack 	 ['shot']
September 20, 1897 	 ['22 September 1896']
Arizona Dream 	 ['The Heiress']
Eleanor Roosevelt 	 ['Edith Posca']
19 December 1984 	 ['21 July 1986']
The director of the film The 39 Steps (1959 film), Ralph Thomas, is still alive. 	 ['17 March 2001']
May 22, 1954 	 ['October 28, 1953']
Love Faces (Film) 	 ['Beauty And The Rogue']
October 10, 1965 	 ['24 July 1969']
yes 	 ['no']
yes 	 ['no']
Paris. 	 ['Moscow']
United States 	 ['India']
no 	 ['yes']
American 	 ['America']
