2025-08-24 07:13:19 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:13:19 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w02.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.13s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.20s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.24it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.06it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:22,  3.42s/it]Evaluation:   8%|▊         | 2/25 [00:05<00:59,  2.58s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:49,  2.24s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.29s/it]Evaluation:  20%|██        | 5/25 [00:11<00:43,  2.20s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:41,  2.18s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:41,  2.28s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:39,  2.35s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:32,  2.06s/it]Evaluation:  40%|████      | 10/25 [00:21<00:27,  1.83s/it]Evaluation:  44%|████▍     | 11/25 [00:22<00:21,  1.57s/it]Evaluation:  48%|████▊     | 12/25 [00:23<00:18,  1.43s/it]Evaluation:  52%|█████▏    | 13/25 [00:24<00:15,  1.25s/it]Evaluation:  56%|█████▌    | 14/25 [00:25<00:13,  1.19s/it]Evaluation:  60%|██████    | 15/25 [00:26<00:10,  1.08s/it]Evaluation:  64%|██████▍   | 16/25 [00:27<00:09,  1.06s/it]Evaluation:  68%|██████▊   | 17/25 [00:28<00:08,  1.00s/it]Evaluation:  72%|███████▏  | 18/25 [00:29<00:06,  1.02it/s]Evaluation:  76%|███████▌  | 19/25 [00:30<00:06,  1.07s/it]Evaluation:  80%|████████  | 20/25 [00:31<00:05,  1.02s/it]Evaluation:  84%|████████▍ | 21/25 [00:32<00:04,  1.04s/it]Evaluation:  88%|████████▊ | 22/25 [00:33<00:02,  1.06it/s]Evaluation:  92%|█████████▏| 23/25 [00:34<00:01,  1.05it/s]Evaluation:  96%|█████████▌| 24/25 [00:37<00:01,  1.68s/it]Evaluation: 100%|██████████| 25/25 [00:39<00:00,  1.92s/it]Evaluation: 100%|██████████| 25/25 [00:39<00:00,  1.60s/it]
2025-08-24 07:14:11 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:14:11 INFO: - n_context: 5
2025-08-24 07:14:11 INFO: - context_type: triples
2025-08-24 07:14:11 INFO: - {'exact_match': 0.4, 'f1': 0.45486507936507936, 'precision': 0.4755, 'recall': 0.46326190476190476, 'avg_num_tokens': 159.89}
2025-08-24 07:14:11 INFO: - ================================================================
1861 	 ['April 1858']
Le Verrier 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Atlantic 	 ['Warner Bros.']
None of the above. 	 ['Syracuse University', 'Cuse', 'SU']
Soviet Union 	 ['KPA']
Norwegian 	 ['Norway', 'NO', 'NOR', 'no']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
University of California, Los Angeles 	 ['Visva-Bharati University']
Not applicable. 	 ['1773']
Hafez 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Michelangelo. 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Mendelssohn & Co. 	 ['KaDeWe']
June 30, 1960 	 ['1960']
Laughery Creek 	 ['Ohio River']
1912 	 ['1963']
By a considerable margin. 	 ["Europe's most innovative country", 'Europe']
August 30, 1980 	 ['December 1917']
1909 	 ['1895']
The flag of Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
24 hours 	 ['24 hours a day']
Rhode Island 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one. 	 ['Charles Carroll']
Pope Boniface VIII 	 ['Castel Gandolfo']
No one. 	 ['Charles Carroll']
Wendy Finerman 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Pioneer 10 	 ['Voyager probes']
Julius Caesar 	 ['March 44 BC']
13 February 1937 	 ['six months']
TAG Heuer 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
Members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
The Chicago Cubs' reason for poor late-season play. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
Western Europe 	 ['off the north - western coast of the European mainland']
Puerto Rico was a Spanish colony. 	 ['a key part of the Spanish Empire']
Fort Lauderdale, Florida 	 ['165,521']
President 	 ['Arkansas Attorney General']
Impulse! 	 ['RCA Records', 'RCA']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
There is no university of George Low. George Low was a NASA administrator and the 14th President of Renssela 	 ['1824']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Bianjing (present-day Kaifeng) 	 ['Qiantang']
