2025-08-24 02:59:42 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:59:42 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w05.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.20s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.28s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.29s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.16it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.01s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:12,  3.00s/it]Evaluation:   8%|▊         | 2/25 [00:05<00:58,  2.56s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:55,  2.53s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:46,  2.23s/it]Evaluation:  20%|██        | 5/25 [00:11<00:41,  2.07s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:41,  2.21s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:40,  2.23s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:38,  2.28s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:34,  2.19s/it]Evaluation:  40%|████      | 10/25 [00:23<00:36,  2.43s/it]Evaluation:  44%|████▍     | 11/25 [00:25<00:31,  2.23s/it]Evaluation:  48%|████▊     | 12/25 [00:27<00:29,  2.23s/it]Evaluation:  52%|█████▏    | 13/25 [00:29<00:25,  2.13s/it]Evaluation:  56%|█████▌    | 14/25 [00:30<00:19,  1.76s/it]Evaluation:  60%|██████    | 15/25 [00:31<00:14,  1.50s/it]Evaluation:  64%|██████▍   | 16/25 [00:31<00:11,  1.30s/it]Evaluation:  68%|██████▊   | 17/25 [00:32<00:09,  1.22s/it]Evaluation:  72%|███████▏  | 18/25 [00:33<00:07,  1.06s/it]Evaluation:  76%|███████▌  | 19/25 [00:34<00:06,  1.02s/it]Evaluation:  80%|████████  | 20/25 [00:35<00:05,  1.03s/it]Evaluation:  84%|████████▍ | 21/25 [00:36<00:04,  1.06s/it]Evaluation:  88%|████████▊ | 22/25 [00:37<00:02,  1.03it/s]Evaluation:  92%|█████████▏| 23/25 [00:38<00:01,  1.10it/s]Evaluation:  96%|█████████▌| 24/25 [00:39<00:00,  1.11it/s]Evaluation: 100%|██████████| 25/25 [00:40<00:00,  1.13it/s]Evaluation: 100%|██████████| 25/25 [00:40<00:00,  1.60s/it]
2025-08-24 03:00:36 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:00:36 INFO: - n_context: 5
2025-08-24 03:00:36 INFO: - context_type: triples
2025-08-24 03:00:36 INFO: - {'exact_match': 0.74, 'f1': 0.77, 'precision': 0.7616666666666666, 'recall': 0.79, 'avg_num_tokens': 133.51}
2025-08-24 03:00:36 INFO: - ================================================================
Execution by hanging. 	 ['hanging']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
not provided in the given context. 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Amor a primera vista 	 ['The Cuban Love Song']
Mary Bertie, Duchess of Ancaster and Kesteven 	 ['Thomas Panton']
Eisenach, Germany 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Yes. 	 ['no']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No. 	 ['yes']
Yes 	 ['no']
United States 	 ['American']
Chinese 	 ['no']
November 11, 1991 	 ['Auckland']
8 December 1980 	 ['shot']
1918 	 ['Beauty And The Rogue']
Yes 	 ['no']
No 	 ['yes']
American 	 ['America']
