2025-08-23 15:14:09 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:14:09 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w03.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.46s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.38s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.35s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.11it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:45,  1.90s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:49,  2.13s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:52,  2.38s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.32s/it]Evaluation:  20%|██        | 5/25 [00:11<00:45,  2.30s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:42,  2.23s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:38,  2.15s/it]Evaluation:  32%|███▏      | 8/25 [00:17<00:38,  2.28s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:40,  2.55s/it]Evaluation:  40%|████      | 10/25 [00:24<00:39,  2.65s/it]Evaluation:  44%|████▍     | 11/25 [00:25<00:33,  2.39s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:30,  2.37s/it]Evaluation:  52%|█████▏    | 13/25 [00:31<00:30,  2.52s/it]Evaluation:  56%|█████▌    | 14/25 [00:33<00:27,  2.49s/it]Evaluation:  60%|██████    | 15/25 [00:35<00:23,  2.40s/it]Evaluation:  64%|██████▍   | 16/25 [00:37<00:21,  2.38s/it]Evaluation:  68%|██████▊   | 17/25 [00:40<00:19,  2.41s/it]Evaluation:  72%|███████▏  | 18/25 [00:42<00:16,  2.34s/it]Evaluation:  76%|███████▌  | 19/25 [00:45<00:14,  2.43s/it]Evaluation:  80%|████████  | 20/25 [00:47<00:12,  2.46s/it]Evaluation:  84%|████████▍ | 21/25 [00:49<00:09,  2.30s/it]Evaluation:  88%|████████▊ | 22/25 [00:51<00:06,  2.22s/it]Evaluation:  92%|█████████▏| 23/25 [00:53<00:04,  2.18s/it]Evaluation:  96%|█████████▌| 24/25 [00:57<00:02,  2.60s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.25s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.35s/it]
2025-08-23 15:15:23 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:15:23 INFO: - n_context: 5
2025-08-23 15:15:23 INFO: - context_type: triples
2025-08-23 15:15:23 INFO: - {'exact_match': 0.68, 'f1': 0.7461190476190476, 'precision': 0.7494999999999998, 'recall': 0.7616666666666666, 'avg_num_tokens': 167.04}
2025-08-23 15:15:23 INFO: - ================================================================
Yes. 	 ['no']
February 26, 2009 	 ['NBC']
Flowering plants. 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
The Island (2005 film) 	 ['The Island']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
Archbishop Gilday 	 ['Paul Marcinkus']
1852 	 ['1904']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Baltic, Germanic, and Thracian tribes. 	 ['Germanic, Baltic and Thracian tribes']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
72-78 passengers 	 ['72-78']
Crown Princess Masako of Japan 	 ['Aiko, Princess Toshi']
Darren McDermott 	 ['Marco Antonio Barrera']
Lawrence Technological University 	 ['University of North Texas']
Humber Refinery. 	 ['the A160']
Trinidad Moruga Scorpion 	 ['"Capsicum chinense"']
3D animation 	 ['animation']
1964 	 ['1939']
1979 	 ['The London Connection']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi collaborated with Canzoniere Grecanico Salentino on notable performances. 	 ['Italian pianist and composer']
Daesung 	 ['actress']
Yes. 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
