2025-08-24 07:27:48 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:27:48 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w09.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.08s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.14s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.14s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.30it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.11it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:58,  2.42s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:57,  2.49s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:45,  2.08s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:47,  2.28s/it]Evaluation:  20%|██        | 5/25 [00:11<00:42,  2.15s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:44,  2.37s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:44,  2.45s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:45,  2.70s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:35,  2.19s/it]Evaluation:  40%|████      | 10/25 [00:23<00:33,  2.25s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:28,  2.03s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:26,  2.06s/it]Evaluation:  52%|█████▏    | 13/25 [00:29<00:27,  2.29s/it]Evaluation:  56%|█████▌    | 14/25 [00:33<00:29,  2.70s/it]Evaluation:  60%|██████    | 15/25 [00:35<00:24,  2.42s/it]Evaluation:  64%|██████▍   | 16/25 [00:38<00:24,  2.75s/it]Evaluation:  68%|██████▊   | 17/25 [00:40<00:20,  2.52s/it]Evaluation:  72%|███████▏  | 18/25 [00:42<00:15,  2.25s/it]Evaluation:  76%|███████▌  | 19/25 [00:45<00:15,  2.55s/it]Evaluation:  80%|████████  | 20/25 [00:47<00:11,  2.30s/it]Evaluation:  84%|████████▍ | 21/25 [00:49<00:09,  2.43s/it]Evaluation:  88%|████████▊ | 22/25 [00:52<00:07,  2.48s/it]Evaluation:  92%|█████████▏| 23/25 [00:55<00:05,  2.59s/it]Evaluation:  96%|█████████▌| 24/25 [00:58<00:02,  2.78s/it]Evaluation: 100%|██████████| 25/25 [01:00<00:00,  2.68s/it]Evaluation: 100%|██████████| 25/25 [01:00<00:00,  2.44s/it]
2025-08-24 07:29:01 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:29:01 INFO: - n_context: 5
2025-08-24 07:29:01 INFO: - context_type: documents
2025-08-24 07:29:01 INFO: - {'exact_match': 0.19, 'f1': 0.25220512820512825, 'precision': 0.27324242424242423, 'recall': 0.24883333333333332, 'avg_num_tokens': 385.93}
2025-08-24 07:29:01 INFO: - ================================================================
1858 	 ['April 1858']
Amsterdam Airport Schiphol (AMS) 	 ['Stockholm Arlanda Airport', 'Arlanda Airport', 'ARN']
Yerevan 	 ['Kapan']
Russian 	 ['Chinese']
2.3 million 	 ['1.7 million']
38th 	 ['34th']
A boarding house and a boarding school. 	 ['hotels', 'Hotel', 'hotel']
Nebraska. 	 ['University of Nebraska']
The Roman Catholic Church. 	 ['Anglican Church of Canada']
10 	 ['three']
1898 	 ['August 12, 1898']
Beijing 	 ['Dorgon']
A white cross on a red field. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
Princeton University. 	 ['Syracuse University', 'Cuse', 'SU']
1945 	 ['1842']
German Wehrmacht 	 ['KPA']
The Rolling Stones 	 ['Fleetwood Mac']
Ireland 	 ['Norway', 'NO', 'NOR', 'no']
1979 	 ['1953']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
There is no composer mentioned in the context about Ganashatru. The context is about a film directed by Satyaj 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
The Persian Empire. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Southeast Asia 	 ['Central Asia']
Columbia University. 	 ['Syracuse University', 'Cuse', 'SU']
The Scarecrow 	 ['Laura Kelly']
Paul McCartney 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
1950 	 ['1963']
The European Union. 	 ["Europe's most innovative country", 'Europe']
$100,000 	 ['$122,160']
1945 	 ['December 1917']
John Dramani Mahama 	 ['Sophia Akuffo']
1842 	 ['1895']
It does not. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
Outside of royal events, alcohol is strictly prohibited. 	 ['24 hours a day']
North America 	 ['Antarctica']
The Federal Highway Administration (FHWA). 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from Washington County, Maryland, where the Keedy House is located. 	 ['Charles Carroll']
Rome 	 ['Castel Gandolfo']
Shirley Temple 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
The Voyager 1 and Voyager 2 spacecraft used the gravitational pull of Jupiter. 	 ['Voyager probes']
The Voice 	 ['American Idol']
Not mentioned in the provided context. 	 ['5th–6th centuries', '6th century', '6th-century']
December 1, 44 AD 	 ['March 44 BC']
Ringo Starr 	 ['James McCartney']
Ferdinand Porsche 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
Pakatan Nasional 	 ['Pakatan Harapan']
members of the Lok Sabha 	 ['Parliament of India']
Stanford University. 	 ['Harvard']
A year. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
1972 	 ['1998']
Charlottesville 	 ['Lincoln Financial Field']
José Feliciano. 	 ['Aldemaro Romero']
Penelope Cruz. 	 ['Amna Ilyas']
Hertfordshire, United Kingdom 	 ['off the north - western coast of the European mainland']
British Virgin Islands 	 ['a key part of the Spanish Empire']
82,345 	 ['165,521']
Arun Jaitley 	 ['Sudhir Mungantiwar']
Mattel 	 ['Elliot Handler']
California Governor 	 ['Arkansas Attorney General']
Def Jam Recordings. 	 ['RCA Records', 'RCA']
Yerevan 	 ['Kapan']
Trajan 	 ['Marcia']
Indian Railway Heritage Museum 	 ['National Rail Museum']
1775 	 ['1824']
Nintendo 	 ['first-party games']
