2025-08-24 07:12:06 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:12:06 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w01.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.22s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.30s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.30s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.15it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.02s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:13,  3.05s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:53,  2.34s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:47,  2.15s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:42,  2.01s/it]Evaluation:  20%|██        | 5/25 [00:10<00:40,  2.03s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:44,  2.34s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:41,  2.28s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:40,  2.39s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:36,  2.29s/it]Evaluation:  40%|████      | 10/25 [00:22<00:31,  2.07s/it]Evaluation:  44%|████▍     | 11/25 [00:23<00:27,  1.95s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:28,  2.23s/it]Evaluation:  52%|█████▏    | 13/25 [00:28<00:25,  2.15s/it]Evaluation:  56%|█████▌    | 14/25 [00:32<00:29,  2.72s/it]Evaluation:  60%|██████    | 15/25 [00:34<00:24,  2.48s/it]Evaluation:  64%|██████▍   | 16/25 [00:36<00:22,  2.46s/it]Evaluation:  68%|██████▊   | 17/25 [00:38<00:18,  2.29s/it]Evaluation:  72%|███████▏  | 18/25 [00:40<00:14,  2.14s/it]Evaluation:  76%|███████▌  | 19/25 [00:44<00:15,  2.56s/it]Evaluation:  80%|████████  | 20/25 [00:45<00:11,  2.30s/it]Evaluation:  84%|████████▍ | 21/25 [00:48<00:09,  2.34s/it]Evaluation:  88%|████████▊ | 22/25 [00:49<00:06,  2.08s/it]Evaluation:  92%|█████████▏| 23/25 [00:51<00:04,  2.11s/it]Evaluation:  96%|█████████▌| 24/25 [00:55<00:02,  2.60s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.56s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.33s/it]
2025-08-24 07:13:17 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:13:17 INFO: - n_context: 5
2025-08-24 07:13:17 INFO: - context_type: triples
2025-08-24 07:13:17 INFO: - {'exact_match': 0.44, 'f1': 0.49946031746031744, 'precision': 0.5241190476190476, 'recall': 0.5062619047619047, 'avg_num_tokens': 158.2}
2025-08-24 07:13:17 INFO: - ================================================================
March 1855 	 ['April 1858']
Le Verrier and Adams 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
1898 	 ['August 12, 1898']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Hong Kong 	 ['1842']
100,000 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Not mentioned in the context. 	 ['Visva-Bharati University']
Sicily 	 ['1773']
Kurdistan. 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Painter 	 ['Italian painter']
GALERIA Kaufhof 	 ['KaDeWe']
11 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
EU-25 	 ["Europe's most innovative country", 'Europe']
Sweden 	 ['December 1917']
1920 	 ['1895']
The flag of the United States has 50 stars, not one star. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
1974 	 ['1909']
21:30 	 ['24 hours a day']
Rhode Island 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one signed the Declaration of Independence from the state where Keedy House is located, as Keedy House is located in Bo 	 ['Charles Carroll']
Monte Porzio Catone 	 ['Castel Gandolfo']
None. 	 ['Charles Carroll']
Wendy Finerman 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Mariner 10 and Voyager probes. 	 ['Voyager probes']
63 BC 	 ['March 44 BC']
13 years 	 ['six months']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
Speaker of the Lok Sabha 	 ['Parliament of India']
Harvard University 	 ['Harvard']
1. Chicago Cubs reason for poor late-season play unusually high number of day games. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
Western Europe 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Nonpoint is not mentioned in the given context. 	 ['165,521']
Bill Clinton 	 ['Arkansas Attorney General']
Antoine Marchand 	 ['RCA Records', 'RCA']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
There is no university founded by George Low. George Low was the 14th President of Rensselaer Polytechn 	 ['1824']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Nanjing 	 ['Qiantang']
