2025-08-23 15:17:55 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:17:55 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w09.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.17s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.27s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.27s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.19it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.01it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:58,  2.44s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:55,  2.43s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:52,  2.38s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.32s/it]Evaluation:  20%|██        | 5/25 [00:11<00:44,  2.22s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:41,  2.20s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:40,  2.27s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:38,  2.25s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:38,  2.38s/it]Evaluation:  40%|████      | 10/25 [00:23<00:36,  2.41s/it]Evaluation:  44%|████▍     | 11/25 [00:25<00:31,  2.22s/it]Evaluation:  48%|████▊     | 12/25 [00:27<00:28,  2.21s/it]Evaluation:  52%|█████▏    | 13/25 [00:29<00:26,  2.21s/it]Evaluation:  56%|█████▌    | 14/25 [00:31<00:24,  2.25s/it]Evaluation:  60%|██████    | 15/25 [00:34<00:22,  2.24s/it]Evaluation:  64%|██████▍   | 16/25 [00:36<00:21,  2.41s/it]Evaluation:  68%|██████▊   | 17/25 [00:39<00:19,  2.39s/it]Evaluation:  72%|███████▏  | 18/25 [00:41<00:16,  2.31s/it]Evaluation:  76%|███████▌  | 19/25 [00:43<00:13,  2.30s/it]Evaluation:  80%|████████  | 20/25 [00:45<00:11,  2.27s/it]Evaluation:  84%|████████▍ | 21/25 [00:48<00:08,  2.23s/it]Evaluation:  88%|████████▊ | 22/25 [00:49<00:06,  2.09s/it]Evaluation:  92%|█████████▏| 23/25 [00:51<00:04,  2.07s/it]Evaluation:  96%|█████████▌| 24/25 [00:53<00:02,  2.05s/it]Evaluation: 100%|██████████| 25/25 [00:54<00:00,  1.77s/it]Evaluation: 100%|██████████| 25/25 [00:54<00:00,  2.20s/it]
2025-08-23 15:19:04 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:19:04 INFO: - n_context: 5
2025-08-23 15:19:04 INFO: - context_type: triples
2025-08-23 15:19:04 INFO: - {'exact_match': 0.58, 'f1': 0.6329285714285714, 'precision': 0.6409285714285714, 'recall': 0.6453333333333333, 'avg_num_tokens': 159.61}
2025-08-23 15:19:04 INFO: - ================================================================
Yes. 	 ['no']
Boston College. 	 ['University of Delaware']
Cartoon Network. 	 ['NBC']
Monocotyledonous 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
No 	 ['yes']
Both. 	 ['Ariocarpus']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight division. 	 ['Welterweight']
Wide receiver. 	 ['quarterback']
New York Yankees 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
72-78 passengers 	 ['72-78']
Wembley Stadium 	 ['South Kesteven Sports Stadium']
Naseem Hamed 	 ['Marco Antonio Barrera']
Humber Refinery. 	 ['the A160']
Sehnsucht 	 ['Herzeleid']
live-action 	 ['animation']
Royal Air Force 	 ['British Armed Forces']
Vydubychi Hill 	 ['Cherepanov Hill']
1966 	 ['1939']
Aquatium. 	 ['Metreon']
The Country Bears 	 ['The London Connection']
American 	 ['Mexican']
No 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has collaborated with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
standout figure 	 ['actress']
London 	 ['Amsterdam']
Yes 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
