2025-08-24 03:08:18 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:08:18 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w06.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.21s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.30s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.31s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.14it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.02s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:27,  3.66s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:19,  3.45s/it]Evaluation:  12%|█▏        | 3/25 [00:10<01:20,  3.66s/it]Evaluation:  16%|█▌        | 4/25 [00:12<01:02,  2.96s/it]Evaluation:  20%|██        | 5/25 [00:14<00:47,  2.35s/it]Evaluation:  24%|██▍       | 6/25 [00:16<00:45,  2.40s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:37,  2.07s/it]Evaluation:  32%|███▏      | 8/25 [00:20<00:39,  2.30s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:34,  2.16s/it]Evaluation:  40%|████      | 10/25 [00:28<00:49,  3.29s/it]Evaluation:  44%|████▍     | 11/25 [00:30<00:42,  3.02s/it]Evaluation:  48%|████▊     | 12/25 [00:35<00:44,  3.39s/it]Evaluation:  52%|█████▏    | 13/25 [00:36<00:34,  2.85s/it]Evaluation:  56%|█████▌    | 14/25 [00:37<00:26,  2.39s/it]Evaluation:  60%|██████    | 15/25 [00:40<00:25,  2.51s/it]Evaluation:  64%|██████▍   | 16/25 [00:42<00:21,  2.43s/it]Evaluation:  68%|██████▊   | 17/25 [00:45<00:20,  2.54s/it]Evaluation:  72%|███████▏  | 18/25 [00:46<00:14,  2.13s/it]Evaluation:  76%|███████▌  | 19/25 [00:48<00:12,  2.10s/it]Evaluation:  80%|████████  | 20/25 [00:55<00:16,  3.39s/it]Evaluation:  84%|████████▍ | 21/25 [00:59<00:14,  3.62s/it]Evaluation:  88%|████████▊ | 22/25 [01:02<00:10,  3.39s/it]Evaluation:  92%|█████████▏| 23/25 [01:07<00:07,  3.89s/it]Evaluation:  96%|█████████▌| 24/25 [01:10<00:03,  3.55s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  3.42s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  2.93s/it]
2025-08-24 03:09:45 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:09:45 INFO: - n_context: 5
2025-08-24 03:09:45 INFO: - context_type: documents
2025-08-24 03:09:45 INFO: - {'exact_match': 0.7, 'f1': 0.7703968253968254, 'precision': 0.7617787114845939, 'recall': 0.8133333333333332, 'avg_num_tokens': 419.71}
2025-08-24 03:09:45 INFO: - ================================================================
Yes. 	 ['no']
execution by hanging on 30 December 2006. 	 ['hanging']
Innale (1990) 	 ['Innale']
1364 	 ['8 April 1364']
Yes. 	 ['no']
Yes. 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
Britain 	 ['American']
Worthing, Sussex. 	 ['Worthing']
Half Past Dead (2002) 	 ['Half Past Dead']
19 April 2004 	 ['Melbourne']
Umberto Louzer. 	 ['Salvatore Lanna']
The Cuban Love Song (1931) 	 ['The Cuban Love Song']
Sweden 	 ['Eisenach']
A Gentleman of France (1921) 	 ['A Gentleman Of France']
Yes 	 ['no']
Indian 	 ['India']
No. 	 ['yes']
Gustavo Couttolenc died at the age of 94, while Peter Diversi died at the age of  	 ['Peter Diversi']
Already Famous 	 ['Cape Forlorn']
Chinese 	 ['no']
Not mentioned. 	 ['Auckland']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Yes. 	 ['no']
The Heiress (1949) 	 ['The Heiress']
Beauty and the Rogue (1918) 	 ['Beauty And The Rogue']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
