2025-08-23 15:11:31 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:11:31 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w01.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.28s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.39s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.41s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.06it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.10s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:04,  2.69s/it]Evaluation:   8%|▊         | 2/25 [00:05<00:57,  2.51s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:58,  2.65s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:51,  2.43s/it]Evaluation:  20%|██        | 5/25 [00:12<00:45,  2.30s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:42,  2.25s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:44,  2.45s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:41,  2.46s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:41,  2.58s/it]Evaluation:  40%|████      | 10/25 [00:24<00:38,  2.57s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:32,  2.35s/it]Evaluation:  48%|████▊     | 12/25 [00:29<00:30,  2.35s/it]Evaluation:  52%|█████▏    | 13/25 [00:32<00:30,  2.54s/it]Evaluation:  56%|█████▌    | 14/25 [00:34<00:26,  2.41s/it]Evaluation:  60%|██████    | 15/25 [00:36<00:23,  2.32s/it]Evaluation:  64%|██████▍   | 16/25 [00:37<00:19,  2.12s/it]Evaluation:  68%|██████▊   | 17/25 [00:40<00:16,  2.11s/it]Evaluation:  72%|███████▏  | 18/25 [00:41<00:14,  2.04s/it]Evaluation:  76%|███████▌  | 19/25 [00:44<00:13,  2.20s/it]Evaluation:  80%|████████  | 20/25 [00:46<00:11,  2.27s/it]Evaluation:  84%|████████▍ | 21/25 [00:49<00:09,  2.38s/it]Evaluation:  88%|████████▊ | 22/25 [00:51<00:06,  2.22s/it]Evaluation:  92%|█████████▏| 23/25 [00:53<00:04,  2.15s/it]Evaluation:  96%|█████████▌| 24/25 [00:55<00:02,  2.04s/it]Evaluation: 100%|██████████| 25/25 [00:56<00:00,  1.80s/it]Evaluation: 100%|██████████| 25/25 [00:56<00:00,  2.26s/it]
2025-08-23 15:12:46 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:12:46 INFO: - n_context: 5
2025-08-23 15:12:46 INFO: - context_type: triples
2025-08-23 15:12:46 INFO: - {'exact_match': 0.73, 'f1': 0.7882380952380953, 'precision': 0.7909285714285714, 'recall': 0.8066666666666665, 'avg_num_tokens': 157.25}
2025-08-23 15:12:46 INFO: - ================================================================
France 3 	 ['NBC']
Kirk Fogg. 	 ['Jeff Sutphen']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Northwestern University 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Linebacker 	 ['quarterback']
Baltic, Germanic, and Thracian tribes. 	 ['Germanic, Baltic and Thracian tribes']
14 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
Masako, Crown Princess of Japan 	 ['Aiko, Princess Toshi']
Hillary Rodham Clinton 	 ['Hillary Clinton']
Rosenrot 	 ['Herzeleid']
Stop-motion animation. 	 ['animation']
1966 	 ['1939']
Harbour Square Park 	 ['Metreon']
The London Connection (1979) 	 ['The London Connection']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell 	 ['Netherlands']
Vincent van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi is a notable performer with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
Daesung. 	 ['actress']
Yes. 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
