nohup: ignoring input
2025-08-07 12:17:05 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-07 12:17:05 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/dev100_with_reasoning_chains_modify.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.49s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.44s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.41s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.05it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.13s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:04<01:47,  4.50s/it]Evaluation:   8%|▊         | 2/25 [00:11<02:22,  6.20s/it]Evaluation:  12%|█▏        | 3/25 [00:15<01:54,  5.23s/it]Evaluation:  16%|█▌        | 4/25 [00:20<01:46,  5.08s/it]Evaluation:  20%|██        | 5/25 [00:23<01:20,  4.04s/it]Evaluation:  24%|██▍       | 6/25 [00:25<01:04,  3.41s/it]Evaluation:  28%|██▊       | 7/25 [00:27<00:52,  2.91s/it]Evaluation:  32%|███▏      | 8/25 [00:29<00:46,  2.74s/it]Evaluation:  36%|███▌      | 9/25 [00:31<00:41,  2.61s/it]Evaluation:  40%|████      | 10/25 [00:33<00:37,  2.47s/it]Evaluation:  44%|████▍     | 11/25 [00:37<00:38,  2.78s/it]Evaluation:  48%|████▊     | 12/25 [00:39<00:32,  2.50s/it]Evaluation:  52%|█████▏    | 13/25 [00:42<00:32,  2.72s/it]Evaluation:  56%|█████▌    | 14/25 [00:44<00:27,  2.53s/it]Evaluation:  60%|██████    | 15/25 [00:47<00:25,  2.56s/it]Evaluation:  64%|██████▍   | 16/25 [00:49<00:22,  2.46s/it]Evaluation:  68%|██████▊   | 17/25 [00:52<00:20,  2.62s/it]Evaluation:  72%|███████▏  | 18/25 [00:54<00:17,  2.51s/it]Evaluation:  76%|███████▌  | 19/25 [00:56<00:14,  2.38s/it]Evaluation:  80%|████████  | 20/25 [01:00<00:13,  2.74s/it]Evaluation:  84%|████████▍ | 21/25 [01:03<00:11,  2.78s/it]Evaluation:  88%|████████▊ | 22/25 [01:05<00:08,  2.74s/it]Evaluation:  92%|█████████▏| 23/25 [01:08<00:05,  2.72s/it]Evaluation:  96%|█████████▌| 24/25 [01:11<00:02,  2.66s/it]Evaluation: 100%|██████████| 25/25 [01:12<00:00,  2.41s/it]Evaluation: 100%|██████████| 25/25 [01:12<00:00,  2.92s/it]
2025-08-07 12:18:31 INFO: - ====================== Evaluation Results ======================
2025-08-07 12:18:31 INFO: - n_context: 5
2025-08-07 12:18:31 INFO: - context_type: documents
2025-08-07 12:18:31 INFO: - {'exact_match': 0.27, 'f1': 0.33290043290043286, 'precision': 0.3378333333333333, 'recall': 0.33116666666666666, 'avg_num_tokens': 435.52}
2025-08-07 12:18:31 INFO: - ================================================================
yes 	 ['no']
Boston College 	 ['University of Delaware']
ABC 	 ['NBC']
'species' 	 ['genus']
Kirk Fogg 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
Queen 	 ['Daft Punk']
Transformers 	 ['The Island']
January-February 2003 	 ['20 March to 1 May 2003']
Minerals. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
no 	 ['yes']
The Taejon Massacre. 	 ['Bodo League massacre']
Phebalium 	 ['Ariocarpus']
1,042 	 ['761']
MTV India. 	 ['Channel V']
1923 	 ['1904']
Montreal Gazette 	 ['Vice']
Carolina Kostner 	 ['Isolde Kostner']
Hollywood High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight 	 ['Welterweight']
Gasconade. 	 ['Times Beach']
Wide receiver. 	 ['quarterback']
Casey Hampton. 	 ['Dusty Dvoracek']
yes 	 ['no']
The New York Yankees. 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
Wayne Gretzky 	 ['Mario Lemieux']
Rachmaninoff 	 ['Alexander Scriabin']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
United Kingdom 	 ['Ireland']
58 to 64 passengers. 	 ['72-78']
George Washington 	 ['Benedict Arnold']
Hisahito, Prince Akishino. 	 ['Aiko, Princess Toshi']
Erik Morales 	 ['Marco Antonio Barrera']
Princes Highway 	 ['Hume Highway']
Lawrence Technological University. 	 ['University of North Texas']
British 	 ['American']
Barack Obama 	 ['Hillary Clinton']
Sehnsucht 	 ['Herzeleid']
1912 	 ['1897']
Liverpool's star striker Mohamed Salah and Arsenal's midfielder Mohamed Elneny. 	 ['Ahmed Elmohamady']
live-action 	 ['animation']
Stevie Ray Vaughan 	 ['Jeff Healey']
Gentleman 	 ['Kadhalan']
Julien Benneteau 	 ['"Arantxa" Sánchez Vicario']
The University of Oklahoma. 	 ['University of Alabama']
Burger King 	 ['Pizza Hut']
1945 	 ['1939']
1964 	 ['1962']
Aquatium 	 ['Metreon']
Rolandas Paksas. 	 ['Viktor Uspaskich']
The Verve. 	 ['Spacemen 3']
George R. R. Martin 	 ['Stephen King']
formulate the classical theory of electromagnetic radiation 	 ['classical theory of electromagnetic radiation']
"The Country Bears" 	 ['The London Connection']
Canadian 	 ['Mexican']
September 23, 2001. 	 ['December 7, 2008']
no 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Blaik Field. 	 ['Michie Stadium']
None of the provided contexts mention a writer for the TV show "Scrubs" who has also worked on a TV show created 	 ['Angela R. Nissel']
Michael Schumacher. 	 ['Alessandro Nannini']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
The Sipoy Mutiny of 1847. 	 ['Indian Rebellion of 1857']
no 	 ['yes']
Ludovico Einaudi has performed with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
dancer 	 ['actress']
London 	 ['Amsterdam']
yes 	 ['no']
America's Next Top Model 	 ['Project Runway']
