2025-08-24 07:14:13 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:14:13 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w03.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.08s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.15s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.16s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.28it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.09it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:03,  2.65s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:50,  2.22s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:45,  2.06s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:46,  2.22s/it]Evaluation:  20%|██        | 5/25 [00:10<00:42,  2.12s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:39,  2.10s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:39,  2.18s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:40,  2.37s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:35,  2.19s/it]Evaluation:  40%|████      | 10/25 [00:22<00:37,  2.48s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:39,  2.79s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:32,  2.52s/it]Evaluation:  52%|█████▏    | 13/25 [00:30<00:28,  2.38s/it]Evaluation:  56%|█████▌    | 14/25 [00:34<00:32,  2.94s/it]Evaluation:  60%|██████    | 15/25 [00:36<00:25,  2.60s/it]Evaluation:  64%|██████▍   | 16/25 [00:38<00:23,  2.57s/it]Evaluation:  68%|██████▊   | 17/25 [00:41<00:19,  2.45s/it]Evaluation:  72%|███████▏  | 18/25 [00:43<00:16,  2.39s/it]Evaluation:  76%|███████▌  | 19/25 [00:47<00:16,  2.80s/it]Evaluation:  80%|████████  | 20/25 [00:49<00:12,  2.58s/it]Evaluation:  84%|████████▍ | 21/25 [00:52<00:10,  2.72s/it]Evaluation:  88%|████████▊ | 22/25 [00:53<00:07,  2.39s/it]Evaluation:  92%|█████████▏| 23/25 [00:55<00:04,  2.31s/it]Evaluation:  96%|█████████▌| 24/25 [00:57<00:02,  2.19s/it]Evaluation: 100%|██████████| 25/25 [01:00<00:00,  2.46s/it]Evaluation: 100%|██████████| 25/25 [01:00<00:00,  2.44s/it]
2025-08-24 07:15:27 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:15:27 INFO: - n_context: 5
2025-08-24 07:15:27 INFO: - context_type: triples
2025-08-24 07:15:27 INFO: - {'exact_match': 0.49, 'f1': 0.5389646464646465, 'precision': 0.5495079365079366, 'recall': 0.5545952380952381, 'avg_num_tokens': 161.28}
2025-08-24 07:15:27 INFO: - ================================================================
1861 	 ['April 1858']
France 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
University of California, Los Angeles 	 ['Visva-Bharati University']
Not applicable. 	 ['1773']
The Medes. 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Michelangelo 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Karstadt 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
1912 	 ['1963']
The jurisdiction to which the Anthem of Europe applies is the European Union. According to the context, Switzerland is the wealthiest country in 	 ["Europe's most innovative country", 'Europe']
August 30, 1980 	 ['December 1917']
1909 	 ['1895']
The flag of Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
21:30 	 ['24 hours a day']
Rhode Island 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one signed the Declaration of Independence from the state where Keedy House is located, because Keedy House is located in Maryland 	 ['Charles Carroll']
Monte Porzio Catone 	 ['Castel Gandolfo']
None, Elk Landing is located in Cecil County, Maryland, and the Declaration of Independence was signed in Pennsylvania. 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Voyager 1 and Voyager 2. 	 ['Voyager probes']
Julius Caesar 	 ['March 44 BC']
Saturday 13 February 1937 	 ['six months']
TAG Heuer - branded Renault 	 ['Louis Renault']
MES-2 	 ['WGL-4 with 652 characters']
The Speaker of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
1. Chicago Cubs reason for poor late-season play unusually high number of day games. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Rafina 	 ['Amna Ilyas']
Western Europe 	 ['off the north - western coast of the European mainland']
British Virgin Islands 	 ['a key part of the Spanish Empire']
Port St. Lucie, Florida 	 ['165,521']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Bingchang 	 ['Qiantang']
