2025-08-23 15:19:46 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:19:46 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w08.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.23s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.30s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.32s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.14it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.03s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:41,  1.72s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:31,  1.36s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:30,  1.38s/it]Evaluation:  16%|█▌        | 4/25 [00:05<00:26,  1.28s/it]Evaluation:  20%|██        | 5/25 [00:06<00:23,  1.17s/it]Evaluation:  24%|██▍       | 6/25 [00:07<00:20,  1.10s/it]Evaluation:  28%|██▊       | 7/25 [00:08<00:20,  1.12s/it]Evaluation:  32%|███▏      | 8/25 [00:09<00:18,  1.08s/it]Evaluation:  36%|███▌      | 9/25 [00:10<00:18,  1.17s/it]Evaluation:  40%|████      | 10/25 [00:12<00:17,  1.19s/it]Evaluation:  44%|████▍     | 11/25 [00:12<00:15,  1.10s/it]Evaluation:  48%|████▊     | 12/25 [00:13<00:13,  1.06s/it]Evaluation:  52%|█████▏    | 13/25 [00:14<00:12,  1.03s/it]Evaluation:  56%|█████▌    | 14/25 [00:15<00:11,  1.05s/it]Evaluation:  60%|██████    | 15/25 [00:17<00:10,  1.05s/it]Evaluation:  64%|██████▍   | 16/25 [00:18<00:09,  1.02s/it]Evaluation:  68%|██████▊   | 17/25 [00:19<00:08,  1.06s/it]Evaluation:  72%|███████▏  | 18/25 [00:20<00:07,  1.03s/it]Evaluation:  76%|███████▌  | 19/25 [00:21<00:06,  1.05s/it]Evaluation:  80%|████████  | 20/25 [00:22<00:05,  1.05s/it]Evaluation:  84%|████████▍ | 21/25 [00:23<00:04,  1.03s/it]Evaluation:  88%|████████▊ | 22/25 [00:24<00:02,  1.01it/s]Evaluation:  92%|█████████▏| 23/25 [00:25<00:01,  1.04it/s]Evaluation:  96%|█████████▌| 24/25 [00:26<00:01,  1.18s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.18s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.12s/it]
2025-08-23 15:20:28 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:20:28 INFO: - n_context: 5
2025-08-23 15:20:28 INFO: - context_type: triples
2025-08-23 15:20:28 INFO: - {'exact_match': 0.7, 'f1': 0.7552142857142857, 'precision': 0.7590952380952382, 'recall': 0.7683333333333333, 'avg_num_tokens': 161.47}
2025-08-23 15:20:28 INFO: - ================================================================
Canal+. 	 ['NBC']
Family 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
Armageddon 	 ['The Island']
2003 	 ['20 March to 1 May 2003']
Both Borassodendron and Chelidonium are types of flowering plants. 	 ['plant']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Baltic, Germanic, and Thracian tribes. 	 ['Germanic, Baltic and Thracian tribes']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
72-78 passengers 	 ['72-78']
Naseem Hamed 	 ['Marco Antonio Barrera']
Lawrence Technological University 	 ['University of North Texas']
Humber Refinery. 	 ['the A160']
Infinity Chili 	 ['"Capsicum chinense"']
Rammstein 	 ['Herzeleid']
3D animation 	 ['animation']
1966 	 ['1939']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Theo van Gogh (art dealer) 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has collaborated with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
Joy. 	 ['actress']
Yes 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
