2025-08-24 03:02:59 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:02:59 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w08.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:05,  1.68s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.70s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:05<00:01,  1.72s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.14s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.35s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:51,  2.14s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:53,  2.34s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:49,  2.24s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:41,  1.97s/it]Evaluation:  20%|██        | 5/25 [00:10<00:37,  1.89s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:37,  1.99s/it]Evaluation:  28%|██▊       | 7/25 [00:14<00:37,  2.07s/it]Evaluation:  32%|███▏      | 8/25 [00:16<00:36,  2.17s/it]Evaluation:  36%|███▌      | 9/25 [00:18<00:33,  2.12s/it]Evaluation:  40%|████      | 10/25 [00:22<00:36,  2.46s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:32,  2.31s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:30,  2.32s/it]Evaluation:  52%|█████▏    | 13/25 [00:28<00:26,  2.21s/it]Evaluation:  56%|█████▌    | 14/25 [00:30<00:22,  2.05s/it]Evaluation:  60%|██████    | 15/25 [00:31<00:19,  1.94s/it]Evaluation:  64%|██████▍   | 16/25 [00:33<00:16,  1.88s/it]Evaluation:  68%|██████▊   | 17/25 [00:35<00:15,  1.99s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:13,  1.90s/it]Evaluation:  76%|███████▌  | 19/25 [00:39<00:11,  1.99s/it]Evaluation:  80%|████████  | 20/25 [00:42<00:10,  2.16s/it]Evaluation:  84%|████████▍ | 21/25 [00:44<00:08,  2.24s/it]Evaluation:  88%|████████▊ | 22/25 [00:46<00:06,  2.07s/it]Evaluation:  92%|█████████▏| 23/25 [00:48<00:04,  2.04s/it]Evaluation:  96%|█████████▌| 24/25 [00:50<00:01,  1.99s/it]Evaluation: 100%|██████████| 25/25 [00:51<00:00,  1.88s/it]Evaluation: 100%|██████████| 25/25 [00:51<00:00,  2.07s/it]
2025-08-24 03:04:13 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:04:13 INFO: - n_context: 5
2025-08-24 03:04:13 INFO: - context_type: triples
2025-08-24 03:04:13 INFO: - {'exact_match': 0.68, 'f1': 0.7101515151515152, 'precision': 0.7026666666666667, 'recall': 0.7333333333333333, 'avg_num_tokens': 129.39}
2025-08-24 03:04:13 INFO: - ================================================================
Yes 	 ['no']
April 10, 1943 	 ['12 April 1942']
Heart attack. 	 ['hanging']
Yes. 	 ['no']
Eindhoven 	 ['Dutch']
Chennai 	 ['Karaikudi']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
1950 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
Gautham Menon 	 ['Ekk Deewana Tha']
19 April 2004 	 ['Melbourne']
W. S. Van Dyke 	 ['The Cuban Love Song']
Peregrine Bertie, 3rd Duke of Ancaster and Kesteven 	 ['Thomas Panton']
Maya Bazaar (1995 film) 	 ['3688']
Eisenach, Germany 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Yes 	 ['no']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
United States 	 ['American']
No 	 ['yes']
Chinese 	 ['no']
November 5, 1970 	 ['Auckland']
Shot and killed in the archway of his Manhattan apartment building. 	 ['shot']
Yes. 	 ['no']
1918 	 ['Beauty And The Rogue']
Yes 	 ['no']
No 	 ['yes']
American 	 ['America']
