2025-08-24 02:56:39 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:56:39 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w02.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.20s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.27s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.28s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.17it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.00s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:02,  2.59s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:56,  2.45s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:50,  2.28s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:42,  2.01s/it]Evaluation:  20%|██        | 5/25 [00:10<00:37,  1.89s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:39,  2.06s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:38,  2.15s/it]Evaluation:  32%|███▏      | 8/25 [00:16<00:35,  2.09s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:34,  2.13s/it]Evaluation:  40%|████      | 10/25 [00:22<00:35,  2.37s/it]Evaluation:  44%|████▍     | 11/25 [00:23<00:30,  2.18s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:28,  2.21s/it]Evaluation:  52%|█████▏    | 13/25 [00:27<00:24,  2.02s/it]Evaluation:  56%|█████▌    | 14/25 [00:29<00:22,  2.02s/it]Evaluation:  60%|██████    | 15/25 [00:31<00:19,  1.92s/it]Evaluation:  64%|██████▍   | 16/25 [00:33<00:16,  1.82s/it]Evaluation:  68%|██████▊   | 17/25 [00:35<00:15,  1.90s/it]Evaluation:  72%|███████▏  | 18/25 [00:36<00:12,  1.80s/it]Evaluation:  76%|███████▌  | 19/25 [00:38<00:11,  1.91s/it]Evaluation:  80%|████████  | 20/25 [00:42<00:11,  2.32s/it]Evaluation:  84%|████████▍ | 21/25 [00:44<00:09,  2.41s/it]Evaluation:  88%|████████▊ | 22/25 [00:46<00:06,  2.29s/it]Evaluation:  92%|█████████▏| 23/25 [00:48<00:04,  2.12s/it]Evaluation:  96%|█████████▌| 24/25 [00:50<00:02,  2.09s/it]Evaluation: 100%|██████████| 25/25 [00:52<00:00,  1.94s/it]Evaluation: 100%|██████████| 25/25 [00:52<00:00,  2.08s/it]
2025-08-24 02:57:45 INFO: - ====================== Evaluation Results ======================
2025-08-24 02:57:45 INFO: - n_context: 5
2025-08-24 02:57:45 INFO: - context_type: triples
2025-08-24 02:57:45 INFO: - {'exact_match': 0.78, 'f1': 0.81125, 'precision': 0.8023333333333333, 'recall': 0.84, 'avg_num_tokens': 129.68}
2025-08-24 02:57:45 INFO: - ================================================================
Execution by hanging. 	 ['hanging']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
1957 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
1995 	 ['3688']
Eisenach, Germany 	 ['Eisenach']
Yes 	 ['no']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
Yes 	 ['no']
United States 	 ['American']
11 November 1991 	 ['Auckland']
shot and killed in the archway of his Manhattan apartment building three weeks after the album's release 	 ['shot']
Yes. 	 ['no']
1918 	 ['Beauty And The Rogue']
No 	 ['yes']
American 	 ['America']
