2025-09-10 07:17:26 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-09-10 07:17:26 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w10.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.56s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.56s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.04s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.22s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:56,  2.36s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:56,  2.44s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:49,  2.23s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:44,  2.13s/it]Evaluation:  20%|██        | 5/25 [00:11<00:43,  2.16s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:42,  2.23s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:43,  2.39s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:41,  2.44s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:32,  2.01s/it]Evaluation:  40%|████      | 10/25 [00:22<00:31,  2.10s/it]Evaluation:  44%|████▍     | 11/25 [00:23<00:27,  1.98s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:28,  2.18s/it]Evaluation:  52%|█████▏    | 13/25 [00:29<00:28,  2.39s/it]Evaluation:  56%|█████▌    | 14/25 [00:32<00:30,  2.75s/it]Evaluation:  60%|██████    | 15/25 [00:34<00:24,  2.48s/it]Evaluation:  64%|██████▍   | 16/25 [00:38<00:25,  2.87s/it]Evaluation:  68%|██████▊   | 17/25 [00:41<00:23,  2.97s/it]Evaluation:  72%|███████▏  | 18/25 [00:44<00:19,  2.82s/it]Evaluation:  76%|███████▌  | 19/25 [00:47<00:18,  3.05s/it]Evaluation:  80%|████████  | 20/25 [00:49<00:13,  2.63s/it]Evaluation:  84%|████████▍ | 21/25 [00:50<00:09,  2.32s/it]Evaluation:  88%|████████▊ | 22/25 [00:53<00:07,  2.48s/it]Evaluation:  92%|█████████▏| 23/25 [00:56<00:05,  2.55s/it]Evaluation:  96%|█████████▌| 24/25 [00:59<00:02,  2.81s/it]Evaluation: 100%|██████████| 25/25 [01:03<00:00,  3.03s/it]Evaluation: 100%|██████████| 25/25 [01:03<00:00,  2.54s/it]
2025-09-10 07:18:44 INFO: - ====================== Evaluation Results ======================
2025-09-10 07:18:44 INFO: - n_context: 5
2025-09-10 07:18:44 INFO: - context_type: documents
2025-09-10 07:18:44 INFO: - {'exact_match': 0.09, 'f1': 0.16118239538239534, 'precision': 0.1649912280701754, 'recall': 0.16666666666666669, 'avg_num_tokens': 377.53}
2025-09-10 07:18:44 INFO: - ================================================================
1858 	 ['April 1858']
Amsterdam Airport Schiphol (AMS) 	 ['Stockholm Arlanda Airport', 'Arlanda Airport', 'ARN']
Yerevan 	 ['Kapan']
Russian 	 ['Chinese']
2.3 million 	 ['1.7 million']
38th 	 ['34th']
A boarding house and a boarding school. 	 ['hotels', 'Hotel', 'hotel']
University of Central Florida. 	 ['University of Nebraska']
The Roman Catholic Church. 	 ['Anglican Church of Canada']
10 	 ['three']
Luisa Fernanda Morales 	 ['Iván Duque']
1900 	 ['August 12, 1898']
Oscar Wilde 	 ['Dorgon']
A white cross on a red field. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
Princeton University 	 ['Syracuse University', 'Cuse', 'SU']
1945 	 ['1842']
German Wehrmacht 	 ['KPA']
The Rolling Stones 	 ['Fleetwood Mac']
Ireland 	 ['Norway', 'NO', 'NOR', 'no']
1979 	 ['1953']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
The Tchaikovsky Conservatory. 	 ['Visva-Bharati University']
The question is actually about Operation Perch, which was a British offensive during World War II, not the Eritrean 	 ['1773']
The Persian Empire. 	 ['Kurdish people']
St. John's. 	 ['eastern tip']
Roger Taylor 	 ['Peter Grant']
Southeast Asia 	 ['Central Asia']
Columbia University. 	 ['Syracuse University', 'Cuse', 'SU']
The Scarecrow. 	 ['Laura Kelly']
Canada 	 ['United States', 'America', 'US of A', 'US', 'the United States']
Prophet 	 ['Italian painter']
Paul McCartney 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
January 21, 2011 	 ['September 25, 2014']
Mississippi River 	 ['Ohio River']
1950 	 ['1963']
as the most competitive in the world 	 ["Europe's most innovative country", 'Europe']
$100,000 	 ['$122,160']
The CDC. 	 ['The World Health Organization (WHO)', 'WHO', 'World Health Organization']
1945 	 ['December 1917']
John Dramani Mahama 	 ['Sophia Akuffo']
1887 	 ['1895']
The star symbolizes the number of George Tucker's children, marking the 'Tucker family stars' and his enduring legacy. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a museum, public library, or marketplace 	 ['temple, now a church', 'Temple', 'temple']
1960 	 ['1909']
Outside of royal events, alcohol is strictly prohibited. 	 ['24 hours a day']
North America 	 ['Antarctica']
The Federal Highway Administration (FHWA). 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from Washington County, Maryland, where the Keedy House is located. 	 ['Charles Carroll']
Vatican City itself. 	 ['Castel Gandolfo']
Shirley Temple 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
Ho Chi Minh City International Airport 	 ['Tân Sơn Nhất International Airport', 'SGN', 'Tan Son Nhat International Airport']
Pioneer 10 	 ['Voyager probes']
The Voice 	 ['American Idol']
The mosaics at the church in Sitki Uke's birthplace were created between the 12th and 13 	 ['5th–6th centuries', '6th century', '6th-century']
December 1, 44 AD 	 ['March 44 BC']
Not mentioned in the provided context. The context only talks about the BBC Television Service, which used two 	 ['six months']
Ringo Starr. 	 ['James McCartney']
Ferdinand Porsche 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
State Governors. 	 ['Parliament of India']
Stanford University. 	 ['Harvard']
Contrary to initial speculation, factors such as the unusually high number of day games do not appear to be the culprit. 	 ['unusually high number of day games', 'd', 'day', 'Day', 'days']
A year. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
1972 	 ['1998']
University of Virginia Stadium 	 ['Lincoln Financial Field']
