2025-08-24 03:05:22 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:05:22 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w04.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.17s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.25s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.26s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.20it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.02it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:29,  3.73s/it]Evaluation:   8%|▊         | 2/25 [00:07<01:19,  3.46s/it]Evaluation:  12%|█▏        | 3/25 [00:09<01:02,  2.86s/it]Evaluation:  16%|█▌        | 4/25 [00:11<00:56,  2.70s/it]Evaluation:  20%|██        | 5/25 [00:12<00:43,  2.19s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:42,  2.23s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:35,  1.95s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:37,  2.22s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:33,  2.07s/it]Evaluation:  40%|████      | 10/25 [00:26<00:47,  3.20s/it]Evaluation:  44%|████▍     | 11/25 [00:30<00:44,  3.21s/it]Evaluation:  48%|████▊     | 12/25 [00:33<00:44,  3.43s/it]Evaluation:  52%|█████▏    | 13/25 [00:35<00:33,  2.79s/it]Evaluation:  56%|█████▌    | 14/25 [00:36<00:25,  2.34s/it]Evaluation:  60%|██████    | 15/25 [00:39<00:24,  2.48s/it]Evaluation:  64%|██████▍   | 16/25 [00:41<00:21,  2.41s/it]Evaluation:  68%|██████▊   | 17/25 [00:44<00:20,  2.51s/it]Evaluation:  72%|███████▏  | 18/25 [00:45<00:14,  2.06s/it]Evaluation:  76%|███████▌  | 19/25 [00:47<00:11,  1.93s/it]Evaluation:  80%|████████  | 20/25 [00:53<00:17,  3.41s/it]Evaluation:  84%|████████▍ | 21/25 [00:58<00:14,  3.63s/it]Evaluation:  88%|████████▊ | 22/25 [01:00<00:09,  3.26s/it]Evaluation:  92%|█████████▏| 23/25 [01:03<00:06,  3.20s/it]Evaluation:  96%|█████████▌| 24/25 [01:06<00:03,  3.07s/it]Evaluation: 100%|██████████| 25/25 [01:09<00:00,  3.08s/it]Evaluation: 100%|██████████| 25/25 [01:09<00:00,  2.77s/it]
2025-08-24 03:06:45 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:06:45 INFO: - n_context: 5
2025-08-24 03:06:45 INFO: - context_type: documents
2025-08-24 03:06:45 INFO: - {'exact_match': 0.74, 'f1': 0.7784640522875815, 'precision': 0.7752549019607844, 'recall': 0.8083333333333332, 'avg_num_tokens': 373.85}
2025-08-24 03:06:45 INFO: - ================================================================
Yes. 	 ['no']
There is no mention of Samira Shahbandar or her husband in the given context. The context only talks about Saddam Hussein 	 ['hanging']
Innale (1990) 	 ['Innale']
1364 	 ['8 April 1364']
Yes. 	 ['no']
Sacha Guitry 	 ['Lucien Guitry']
No. 	 ['yes']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
Britain 	 ['American']
Worthing, Sussex. 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Tell Me I'm Dreaming 	 ['An Odyssey Of The North']
Umberto Louzer. 	 ['Salvatore Lanna']
Dasari Narayana Rao directed Maya Bazaar (1995 film), and he was born on 4 May 194 	 ['3688']
Yes 	 ['no']
Indian 	 ['India']
Peter Diversi died later, at the age of 85, while Gustavo Couttolenc died at the age of 	 ['Peter Diversi']
United States 	 ['American']
Chinese 	 ['no']
Not mentioned. 	 ['Auckland']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
The Heiress (1949) 	 ['The Heiress']
No 	 ['yes']
American 	 ['America']
