2025-08-24 07:11:59 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:11:59 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w00.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.21s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.28s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.30s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.15it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.02s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:52,  2.20s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:56,  2.46s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:49,  2.25s/it]Evaluation:  16%|█▌        | 4/25 [00:12<01:11,  3.42s/it]Evaluation:  20%|██        | 5/25 [00:15<01:10,  3.52s/it]Evaluation:  24%|██▍       | 6/25 [00:22<01:26,  4.56s/it]Evaluation:  28%|██▊       | 7/25 [00:28<01:30,  5.00s/it]Evaluation:  32%|███▏      | 8/25 [00:34<01:30,  5.35s/it]Evaluation:  36%|███▌      | 9/25 [00:40<01:27,  5.45s/it]Evaluation:  40%|████      | 10/25 [00:47<01:29,  5.96s/it]Evaluation:  44%|████▍     | 11/25 [00:51<01:16,  5.44s/it]Evaluation:  48%|████▊     | 12/25 [00:56<01:08,  5.26s/it]Evaluation:  52%|█████▏    | 13/25 [01:00<01:01,  5.09s/it]Evaluation:  56%|█████▌    | 14/25 [01:04<00:49,  4.50s/it]Evaluation:  60%|██████    | 15/25 [01:05<00:35,  3.54s/it]Evaluation:  64%|██████▍   | 16/25 [01:07<00:28,  3.20s/it]Evaluation:  68%|██████▊   | 17/25 [01:10<00:23,  2.97s/it]Evaluation:  72%|███████▏  | 18/25 [01:13<00:21,  3.12s/it]Evaluation:  76%|███████▌  | 19/25 [01:15<00:17,  2.87s/it]Evaluation:  80%|████████  | 20/25 [01:18<00:13,  2.62s/it]Evaluation:  84%|████████▍ | 21/25 [01:19<00:09,  2.33s/it]Evaluation:  88%|████████▊ | 22/25 [01:22<00:07,  2.41s/it]Evaluation:  92%|█████████▏| 23/25 [01:27<00:06,  3.15s/it]Evaluation:  96%|█████████▌| 24/25 [01:33<00:04,  4.23s/it]Evaluation: 100%|██████████| 25/25 [01:38<00:00,  4.39s/it]Evaluation: 100%|██████████| 25/25 [01:38<00:00,  3.95s/it]
2025-08-24 07:13:51 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:13:51 INFO: - n_context: 5
2025-08-24 07:13:51 INFO: - context_type: documents
2025-08-24 07:13:51 INFO: - {'exact_match': 0.07, 'f1': 0.12491904761904761, 'precision': 0.13798232323232323, 'recall': 0.12683333333333333, 'avg_num_tokens': 328.62}
2025-08-24 07:13:51 INFO: - ================================================================
1858. 	 ['April 1858']
Dushanbe International Airport 	 ['Stockholm Arlanda Airport', 'Arlanda Airport', 'ARN']
Ngaraard 	 ['Kapan']
None. 	 ['Chinese']
Jay R released his first album in an unknown context, as the provided context only mentions his fourth studio album, "Soul 	 ['1993']
I'm happy to help! However, I must point out that the context provided does not mention the state where the Mississippi River 	 ['1.7 million']
Mississippi 	 ['34th']
The Francis Parkman House. 	 ['hotels', 'Hotel', 'hotel']
Humacao, Puerto Rico 	 ['University of Nebraska']
Canada 	 ['Anglican Church of Canada']
There is no information about private schools in the given contexts. The contexts are about Green Bay, Wisconsin, and the History of 	 ['three']
There is no information about presidential elections in the context about Sabaneta, Antioquia. 	 ['Iván Duque']
Hawaii 	 ['August 12, 1898']
Seoul. 	 ['Dorgon']
Christ 	 ['a red cross on a white field', 'Red Cross']
Hong Kong 	 ['1842']
Italy 	 ['KPA']
Emily Wells 	 ['Fleetwood Mac']
Russia 	 ['Norway', 'NO', 'NOR', 'no']
1947 	 ['1953']
The dissolution of the Soviet Union. 	 ['establishment of the Roman Empire.', 'Roman Empire']
not provided in the given contexts. 	 ['Visva-Bharati University']
Malta 	 ['1773']
I apologize, but the context provided does not answer the question. The question is about Rogers Cable's headquarters, but the context 	 ['eastern tip']
Adam Lambert 	 ['Peter Grant']
Eastern Europe 	 ['Central Asia']
There is no mention of "Walk on the Wild Side" in the given contexts, so there is no answer to this question 	 ['Syracuse University', 'Cuse', 'SU']
There is no Democratic gubernatorial candidate mentioned in the context. 	 ['Laura Kelly']
California 	 ['United States', 'America', 'US of A', 'US', 'the United States']
July Moyo 	 ['Hon July Moyo']
There is no mention of the creator of Prophet Jonah in the given contexts. The contexts are about France Five, Jehovah's Witnesses 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
El Corte Inglés 	 ['KaDeWe']
1962 	 ['1960']
Season 11. 	 ['September 25, 2014']
Prairie Creek 	 ['Ohio River']
not provided in the given contexts. The context about Khalifa Bin Yousef mentions the unification of 	 ['1963']
The European Union. 	 ["Europe's most innovative country", 'Europe']
$122,160 (2013) 	 ['$122,160']
New York City Health and Hospitals Corporation (HHC) 	 ['The World Health Organization (WHO)', 'WHO', 'World Health Organization']
There is no mention of Alanders rejoining a country or the Embassy of France in the given contexts. 	 ['December 1917']
Not mentioned. 	 ['Sophia Akuffo']
1649 	 ['1895']
The flag of the United States has 50 stars, not one. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
There is no mention of the Vix Pervenit's author in the given context. The context only talks about the 	 ['temple, now a church', 'Temple', 'temple']
not mentioned in the given context. 	 ['1909']
21 years of age. 	 ['24 hours a day']
Connecticut 	 ['Rhode Island Department of Transportation', 'RIDOT']
Texas 	 ['Charles Carroll']
Rome 	 ['Castel Gandolfo']
John Hancock. 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
Meat and rice. 	 ['yak meat']
Kirkland. 	 ['former Acting Mayor London Breed', 'London Breed']
Lewis Range 	 ['Rocky Mountains']
Guaíra Airport 	 ['Tân Sơn Nhất International Airport', 'SGN', 'Tan Son Nhat International Airport']
None. 	 ['American Idol']
785 	 ['5th–6th centuries', '6th century', '6th-century']
There is no mention of the person who recognized Jewish synagogues as being legitimate in Rome in the given context. The context 	 ['March 44 BC']
Evan James Springsteen 	 ['Harper Simon']
2 weeks. 	 ['six months']
There is no mention of the composer of "Get Back" in the given context. The context only talks about the character Susan 	 ['James McCartney']
509 	 ['808']
