nohup: ignoring input
2025-08-09 15:21:34 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-09 15:21:34 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/dev100_with_reasoning_chains_modify_w1.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.05s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.12s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.15s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.31it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.12it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:53,  2.25s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:07,  2.93s/it]Evaluation:  12%|█▏        | 3/25 [00:08<00:59,  2.68s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:50,  2.39s/it]Evaluation:  20%|██        | 5/25 [00:12<00:49,  2.49s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:45,  2.39s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:40,  2.23s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:38,  2.27s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:37,  2.34s/it]Evaluation:  40%|████      | 10/25 [00:24<00:35,  2.40s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:32,  2.35s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:28,  2.20s/it]Evaluation:  52%|█████▏    | 13/25 [00:31<00:29,  2.47s/it]Evaluation:  56%|█████▌    | 14/25 [00:33<00:25,  2.35s/it]Evaluation:  60%|██████    | 15/25 [00:35<00:24,  2.42s/it]Evaluation:  64%|██████▍   | 16/25 [00:38<00:20,  2.31s/it]Evaluation:  68%|██████▊   | 17/25 [00:40<00:18,  2.28s/it]Evaluation:  72%|███████▏  | 18/25 [00:42<00:15,  2.19s/it]Evaluation:  76%|███████▌  | 19/25 [00:44<00:12,  2.16s/it]Evaluation:  80%|████████  | 20/25 [00:46<00:11,  2.22s/it]Evaluation:  84%|████████▍ | 21/25 [00:49<00:09,  2.27s/it]Evaluation:  88%|████████▊ | 22/25 [00:51<00:07,  2.40s/it]Evaluation:  92%|█████████▏| 23/25 [00:53<00:04,  2.24s/it]Evaluation:  96%|█████████▌| 24/25 [00:55<00:02,  2.26s/it]Evaluation: 100%|██████████| 25/25 [00:57<00:00,  2.13s/it]Evaluation: 100%|██████████| 25/25 [00:57<00:00,  2.31s/it]
2025-08-09 15:22:43 INFO: - ====================== Evaluation Results ======================
2025-08-09 15:22:43 INFO: - n_context: 5
2025-08-09 15:22:43 INFO: - context_type: documents
2025-08-09 15:22:43 INFO: - {'exact_match': 0.27, 'f1': 0.35494805194805196, 'precision': 0.35766666666666663, 'recall': 0.35700000000000004, 'avg_num_tokens': 412.64}
2025-08-09 15:22:43 INFO: - ================================================================
yes 	 ['no']
Boston College 	 ['University of Delaware']
ABC 	 ['NBC']
species 	 ['genus']
Steve Urkel. 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
Queen 	 ['Daft Punk']
Transformers. 	 ['The Island']
17 January to 28 February 2003. 	 ['20 March to 1 May 2003']
Minerals. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
no 	 ['yes']
The Taejon Massacre. 	 ['Bodo League massacre']
Phebalium. 	 ['Ariocarpus']
1,042 	 ['761']
MTV India. 	 ['Channel V']
1923 	 ['1904']
Anthony Hopkins 	 ['Ralph Fiennes']
champion 	 ['runner-up']
'Montreal Gazette' 	 ['Vice']
Carolina Kostner 	 ['Isolde Kostner']
Hollywood High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight 	 ['Welterweight']
Gasconade. 	 ['Times Beach']
Wide receiver. 	 ['quarterback']
Adam Amin and Dusty Dvoracek. 	 ['Dusty Dvoracek']
yes 	 ['no']
The New York Yankees. 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
Wayne Gretzky 	 ['Mario Lemieux']
Rachmaninoff 	 ['Alexander Scriabin']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
United Kingdom 	 ['Ireland']
58 to 64 passengers. 	 ['72-78']
George Washington 	 ['Benedict Arnold']
Masako 	 ['Aiko, Princess Toshi']
Erik Morales 	 ['Marco Antonio Barrera']
Princes Highway 	 ['Hume Highway']
Lawrence Technological University. 	 ['University of North Texas']
British 	 ['American']
['Capsicum annuum'] 	 ['"Capsicum chinense"']
Barack Obama 	 ['Hillary Clinton']
Sehnsucht 	 ['Herzeleid']
Liverpool star striker Mohamed Salah and Mohamed Elneny. 	 ['Ahmed Elmohamady']
"live-action" 	 ['animation']
Stevie Ray Vaughan 	 ['Jeff Healey']
Gentleman 	 ['Kadhalan']
Julien Benneteau 	 ['"Arantxa" Sánchez Vicario']
The University of Oklahoma. 	 ['University of Alabama']
Burger King 	 ['Pizza Hut']
1945 	 ['1939']
1964 	 ['1962']
Aquatium 	 ['Metreon']
Rolandas Paksas. 	 ['Viktor Uspaskich']
The Verve. 	 ['Spacemen 3']
George R. R. Martin 	 ['Stephen King']
formulate the classical theory of electromagnetic radiation 	 ['classical theory of electromagnetic radiation']
"The Country Bears" 	 ['The London Connection']
September 23, 2001. 	 ['December 7, 2008']
no 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Diana Ernestine Earle Ross 	 ['Anna Mae Bullock']
Blaik Field. 	 ['Michie Stadium']
Angela Nissel 	 ['Angela R. Nissel']
Michael Schumacher. 	 ['Alessandro Nannini']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
The Sipoy Mutiny of 1847. 	 ['Indian Rebellion of 1857']
Founder and lead singer. 	 ['Italian pianist and composer']
dancer 	 ['actress']
London 	 ['Amsterdam']
America's Next Top Model 	 ['Project Runway']
