2025-09-10 07:14:28 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-09-10 07:14:28 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w10.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.10s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.18s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.19s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.26it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.07it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:38,  1.61s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:28,  1.23s/it]Evaluation:  12%|█▏        | 3/25 [00:03<00:26,  1.18s/it]Evaluation:  16%|█▌        | 4/25 [00:04<00:21,  1.03s/it]Evaluation:  20%|██        | 5/25 [00:05<00:19,  1.04it/s]Evaluation:  24%|██▍       | 6/25 [00:06<00:19,  1.00s/it]Evaluation:  28%|██▊       | 7/25 [00:07<00:19,  1.06s/it]Evaluation:  32%|███▏      | 8/25 [00:09<00:23,  1.37s/it]Evaluation:  36%|███▌      | 9/25 [00:10<00:20,  1.29s/it]Evaluation:  40%|████      | 10/25 [00:11<00:19,  1.27s/it]Evaluation:  44%|████▍     | 11/25 [00:13<00:16,  1.21s/it]Evaluation:  48%|████▊     | 12/25 [00:13<00:14,  1.11s/it]Evaluation:  52%|█████▏    | 13/25 [00:15<00:13,  1.11s/it]Evaluation:  56%|█████▌    | 14/25 [00:15<00:11,  1.04s/it]Evaluation:  60%|██████    | 15/25 [00:16<00:10,  1.02s/it]Evaluation:  64%|██████▍   | 16/25 [00:17<00:08,  1.04it/s]Evaluation:  68%|██████▊   | 17/25 [00:18<00:08,  1.00s/it]Evaluation:  72%|███████▏  | 18/25 [00:19<00:06,  1.11it/s]Evaluation:  76%|███████▌  | 19/25 [00:20<00:05,  1.09it/s]Evaluation:  80%|████████  | 20/25 [00:21<00:05,  1.00s/it]Evaluation:  84%|████████▍ | 21/25 [00:22<00:03,  1.01it/s]Evaluation:  88%|████████▊ | 22/25 [00:23<00:02,  1.02it/s]Evaluation:  92%|█████████▏| 23/25 [00:24<00:01,  1.06it/s]Evaluation:  96%|█████████▌| 24/25 [00:25<00:00,  1.12it/s]Evaluation: 100%|██████████| 25/25 [00:25<00:00,  1.19it/s]Evaluation: 100%|██████████| 25/25 [00:25<00:00,  1.04s/it]
2025-09-10 07:15:07 INFO: - ====================== Evaluation Results ======================
2025-09-10 07:15:07 INFO: - n_context: 5
2025-09-10 07:15:07 INFO: - context_type: triples
2025-09-10 07:15:07 INFO: - {'exact_match': 0.41, 'f1': 0.45223484848484846, 'precision': 0.4483076923076923, 'recall': 0.4716666666666666, 'avg_num_tokens': 142.82}
2025-09-10 07:15:07 INFO: - ================================================================
yes 	 ['no']
October 10, 1890 	 ['February 22, 1893']
Yes. 	 ['no']
April 10, 1943 	 ['12 April 1942']
Heart attack 	 ['hanging']
Yes. 	 ['no']
P. Padmarajan 	 ['Innale']
The Big Caper 	 ['Grips, Grunts And Groans']
April 10, 1363 	 ['8 April 1364']
Yes. 	 ['no']
July 4, 2003 	 ['August 20, 2004']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
10 February 1927 	 ['4 December 1922']
United Kingdom 	 ['India']
Robert De Niro 	 ['Irwin Winkler']
Yes 	 ['no']
Canada 	 ['American']
January 5, 1973 	 ['July 10, 1972']
Bath 	 ['Worthing']
France 	 ['American']
Gautham Menon, the director of Ekk Deewana Tha, was born on 25 February 197 	 ['Ekk Deewana Tha']
January 8, 1820 	 ['November 17, 1808']
Paris 	 ['Melbourne']
Umberto Louzer 	 ['Salvatore Lanna']
Amor a primera vista 	 ['The Cuban Love Song']
Mary Panton 	 ['Thomas Panton']
Maya Bazaar (1995 Film) 	 ['3688']
Stockholm, Sweden 	 ['Eisenach']
April 17, 1942 	 ['7 May 1940']
1921 	 ['A Gentleman Of France']
Yes 	 ['no']
Yes 	 ['no']
Indian 	 ['India']
No 	 ['yes']
Yes. 	 ['no']
Gustavo Couttolenc 	 ['Peter Diversi']
July 19, 1967 	 ['20 June 1968']
Italian 	 ['American']
1690 	 ['1 November 1680']
Already Famous 	 ['Cape Forlorn']
Canadian 	 ['American']
No 	 ['yes']
Yes 	 ['no']
City of Angels 	 ['Auckland']
Shot and killed in the archway of his Manhattan apartment building. 	 ['shot']
Yes 	 ['no']
September 22, 1896 	 ['22 September 1896']
Che (2014 Film) 	 ['Loyal Lives']
Arizona Dream 	 ['The Heiress']
19 December 1984 	 ['21 July 1986']
March 17, 2001 	 ['17 March 2001']
October 10, 1965 	 ['24 July 1969']
yes 	 ['no']
Yes. 	 ['no']
American 	 ['India']
no 	 ['yes']
American 	 ['America']
