nohup: ignoring input
2025-08-07 11:34:51 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-07 11:34:51 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/dev100_with_reasoning_chains_modify_idea.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:06<00:18,  6.00s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:10<00:10,  5.14s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:11<00:03,  3.45s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  2.24s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.09s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:37,  1.57s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:29,  1.29s/it]Evaluation:  12%|█▏        | 3/25 [00:03<00:25,  1.18s/it]Evaluation:  16%|█▌        | 4/25 [00:04<00:23,  1.11s/it]Evaluation:  20%|██        | 5/25 [00:05<00:20,  1.04s/it]Evaluation:  24%|██▍       | 6/25 [00:06<00:19,  1.02s/it]Evaluation:  28%|██▊       | 7/25 [00:07<00:18,  1.04s/it]Evaluation:  32%|███▏      | 8/25 [00:08<00:17,  1.03s/it]Evaluation:  36%|███▌      | 9/25 [00:09<00:17,  1.08s/it]Evaluation:  40%|████      | 10/25 [00:10<00:16,  1.08s/it]Evaluation:  44%|████▍     | 11/25 [00:11<00:13,  1.00it/s]Evaluation:  48%|████▊     | 12/25 [00:12<00:12,  1.01it/s]Evaluation:  52%|█████▏    | 13/25 [00:13<00:11,  1.01it/s]Evaluation:  56%|█████▌    | 14/25 [00:14<00:11,  1.00s/it]Evaluation:  60%|██████    | 15/25 [00:15<00:09,  1.01it/s]Evaluation:  64%|██████▍   | 16/25 [00:16<00:09,  1.07s/it]Evaluation:  68%|██████▊   | 17/25 [00:18<00:08,  1.06s/it]Evaluation:  72%|███████▏  | 18/25 [00:18<00:07,  1.02s/it]Evaluation:  76%|███████▌  | 19/25 [00:19<00:06,  1.02s/it]Evaluation:  80%|████████  | 20/25 [00:20<00:05,  1.01s/it]Evaluation:  84%|████████▍ | 21/25 [00:21<00:03,  1.01it/s]Evaluation:  88%|████████▊ | 22/25 [00:22<00:02,  1.06it/s]Evaluation:  92%|█████████▏| 23/25 [00:23<00:01,  1.07it/s]Evaluation:  96%|█████████▌| 24/25 [00:25<00:01,  1.13s/it]Evaluation: 100%|██████████| 25/25 [00:26<00:00,  1.13s/it]Evaluation: 100%|██████████| 25/25 [00:26<00:00,  1.05s/it]
2025-08-07 11:35:42 INFO: - ====================== Evaluation Results ======================
2025-08-07 11:35:42 INFO: - n_context: 5
2025-08-07 11:35:42 INFO: - context_type: triples
2025-08-07 11:35:42 INFO: - {'exact_match': 0.58, 'f1': 0.6329285714285714, 'precision': 0.6409285714285714, 'recall': 0.6453333333333333, 'avg_num_tokens': 159.61}
2025-08-07 11:35:42 INFO: - ================================================================
Yes. 	 ['no']
Boston College. 	 ['University of Delaware']
Cartoon Network. 	 ['NBC']
Monocotyledonous 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
No 	 ['yes']
Both. 	 ['Ariocarpus']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight division. 	 ['Welterweight']
Wide receiver. 	 ['quarterback']
New York Yankees 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
72-78 passengers 	 ['72-78']
Wembley Stadium 	 ['South Kesteven Sports Stadium']
Naseem Hamed 	 ['Marco Antonio Barrera']
Humber Refinery. 	 ['the A160']
Sehnsucht 	 ['Herzeleid']
live-action 	 ['animation']
Royal Air Force 	 ['British Armed Forces']
Vydubychi Hill 	 ['Cherepanov Hill']
1966 	 ['1939']
Aquatium. 	 ['Metreon']
The Country Bears 	 ['The London Connection']
American 	 ['Mexican']
No 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has collaborated with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
standout figure 	 ['actress']
London 	 ['Amsterdam']
Yes 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
