2025-08-24 07:17:35 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:17:35 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w06.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.21s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.27s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.28s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.18it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.00it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<00:56,  2.37s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:49,  2.17s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:44,  2.00s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:47,  2.26s/it]Evaluation:  20%|██        | 5/25 [00:10<00:43,  2.20s/it]Evaluation:  24%|██▍       | 6/25 [00:12<00:39,  2.08s/it]Evaluation:  28%|██▊       | 7/25 [00:14<00:36,  2.05s/it]Evaluation:  32%|███▏      | 8/25 [00:17<00:37,  2.20s/it]Evaluation:  36%|███▌      | 9/25 [00:19<00:34,  2.14s/it]Evaluation:  40%|████      | 10/25 [00:22<00:35,  2.37s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:32,  2.34s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:31,  2.39s/it]Evaluation:  52%|█████▏    | 13/25 [00:27<00:23,  1.96s/it]Evaluation:  56%|█████▌    | 14/25 [00:29<00:20,  1.82s/it]Evaluation:  60%|██████    | 15/25 [00:30<00:15,  1.56s/it]Evaluation:  64%|██████▍   | 16/25 [00:31<00:12,  1.36s/it]Evaluation:  68%|██████▊   | 17/25 [00:32<00:10,  1.25s/it]Evaluation:  72%|███████▏  | 18/25 [00:33<00:08,  1.17s/it]Evaluation:  76%|███████▌  | 19/25 [00:34<00:06,  1.13s/it]Evaluation:  80%|████████  | 20/25 [00:35<00:05,  1.06s/it]Evaluation:  84%|████████▍ | 21/25 [00:36<00:04,  1.09s/it]Evaluation:  88%|████████▊ | 22/25 [00:37<00:03,  1.07s/it]Evaluation:  92%|█████████▏| 23/25 [00:38<00:01,  1.03it/s]Evaluation:  96%|█████████▌| 24/25 [00:39<00:00,  1.06it/s]Evaluation: 100%|██████████| 25/25 [00:40<00:00,  1.01it/s]Evaluation: 100%|██████████| 25/25 [00:40<00:00,  1.60s/it]
2025-08-24 07:18:28 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:18:28 INFO: - n_context: 5
2025-08-24 07:18:28 INFO: - context_type: triples
2025-08-24 07:18:28 INFO: - {'exact_match': 0.49, 'f1': 0.514515873015873, 'precision': 0.5248333333333334, 'recall': 0.5156666666666667, 'avg_num_tokens': 154.88}
2025-08-24 07:18:28 INFO: - ================================================================
March 1855 	 ['April 1858']
JFK 	 ['Stockholm Arlanda Airport', 'Arlanda Airport', 'ARN']
France 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
North Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
King's College School 	 ['Visva-Bharati University']
Sicily. 	 ['1773']
Hafez 	 ['Kurdish people']
Asia 	 ['Central Asia']
Michelangelo. 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Karstadt 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
By a considerable margin. 	 ["Europe's most innovative country", 'Europe']
August 30, 1980 	 ['December 1917']
1909 	 ['1895']
The flag of Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
1.9 million years ago 	 ['1909']
21:30 	 ['24 hours a day']
Rhode Island State Police 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one signed the Declaration of Independence from Washington County, Maryland, as the signing took place in Pennsylvania. 	 ['Charles Carroll']
August 1978 	 ['Castel Gandolfo']
None. 	 ['Charles Carroll']
Wendy Finerman 	 ['Catherine Zeta-Jones']
Tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Julius Caesar 	 ['March 44 BC']
Saturday 13 February 1937 	 ['six months']
TAG Heuer 	 ['Louis Renault']
MES-2 	 ['WGL-4 with 652 characters']
The Speaker of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale, Florida 	 ['165,521']
northern section. 	 ['Blue Nile']
Bill Clinton 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang. 	 ['Qiantang']
