2025-08-24 03:04:15 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:04:15 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w09.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.45s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.70s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:05<00:01,  1.71s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.13s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.32s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:12,  3.01s/it]Evaluation:   8%|▊         | 2/25 [00:07<01:25,  3.71s/it]Evaluation:  12%|█▏        | 3/25 [00:09<01:08,  3.12s/it]Evaluation:  16%|█▌        | 4/25 [00:11<00:56,  2.69s/it]Evaluation:  20%|██        | 5/25 [00:13<00:47,  2.36s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:43,  2.31s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:41,  2.30s/it]Evaluation:  32%|███▏      | 8/25 [00:22<00:48,  2.88s/it]Evaluation:  36%|███▌      | 9/25 [00:24<00:42,  2.65s/it]Evaluation:  40%|████      | 10/25 [00:27<00:43,  2.89s/it]Evaluation:  44%|████▍     | 11/25 [00:29<00:37,  2.65s/it]Evaluation:  48%|████▊     | 12/25 [00:32<00:33,  2.55s/it]Evaluation:  52%|█████▏    | 13/25 [00:33<00:28,  2.37s/it]Evaluation:  56%|█████▌    | 14/25 [00:35<00:24,  2.19s/it]Evaluation:  60%|██████    | 15/25 [00:37<00:20,  2.01s/it]Evaluation:  64%|██████▍   | 16/25 [00:39<00:17,  1.97s/it]Evaluation:  68%|██████▊   | 17/25 [00:41<00:16,  2.06s/it]Evaluation:  72%|███████▏  | 18/25 [00:43<00:13,  1.92s/it]Evaluation:  76%|███████▌  | 19/25 [00:45<00:11,  2.00s/it]Evaluation:  80%|████████  | 20/25 [00:46<00:09,  1.81s/it]Evaluation:  84%|████████▍ | 21/25 [00:47<00:06,  1.53s/it]Evaluation:  88%|████████▊ | 22/25 [00:48<00:03,  1.32s/it]Evaluation:  92%|█████████▏| 23/25 [00:49<00:02,  1.21s/it]Evaluation:  96%|█████████▌| 24/25 [00:50<00:01,  1.09s/it]Evaluation: 100%|██████████| 25/25 [00:50<00:00,  1.04it/s]Evaluation: 100%|██████████| 25/25 [00:50<00:00,  2.03s/it]
2025-08-24 03:05:25 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:05:25 INFO: - n_context: 5
2025-08-24 03:05:25 INFO: - context_type: triples
2025-08-24 03:05:25 INFO: - {'exact_match': 0.51, 'f1': 0.5341515151515152, 'precision': 0.5285, 'recall': 0.5566666666666666, 'avg_num_tokens': 140.16}
2025-08-24 03:05:25 INFO: - ================================================================
Yes 	 ['no']
April 10, 1943 	 ['12 April 1942']
Heart attack. 	 ['hanging']
Craig Lahiff, the director of Swerve (Film), is still alive. P. Padmarajan, the director of 	 ['Innale']
April 10, 1363 	 ['8 April 1364']
Yes 	 ['no']
July 4, 2003 	 ['August 20, 2004']
Humphrey Bogart 	 ['Lucien Guitry']
No. 	 ['yes']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Chennai 	 ['Karaikudi']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
10 February 1927 	 ['4 December 1922']
United Kingdom 	 ['India']
Robert De Niro 	 ['Irwin Winkler']
Canada 	 ['American']
January 5, 1973 	 ['July 10, 1972']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
Africa Paradis 	 ['Half Past Dead']
Gautham Menon (Ekk Deewana Tha) is older than Ryan Peters (Downtown Rumble). 	 ['Ekk Deewana Tha']
January 8, 1820 	 ['November 17, 1808']
Paris 	 ['Melbourne']
Umberto Louzer 	 ['Salvatore Lanna']
Peregrine Bertie, 3rd Duke of Ancaster and Kesteven 	 ['Thomas Panton']
Maya Bazaar (1995 Film) 	 ['3688']
Stockholm, Sweden 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Yes 	 ['no']
Iranian 	 ['India']
John Clayton 	 ['Anne Brooksbank']
No 	 ['yes']
Yes 	 ['no']
Gustavo Couttolenc 	 ['Peter Diversi']
United States 	 ['American']
Already Famous 	 ['Cape Forlorn']
Canadian 	 ['American']
No 	 ['yes']
Death On The Job 	 ['Rock All Night']
Yes 	 ['no']
City of Angels 	 ['Auckland']
Leopoldo Penna Franca 	 ['Hermann Speelmans']
No 	 ['yes']
Shot and killed in the archway of his Manhattan apartment building. 	 ['shot']
Yes. 	 ['no']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
