2025-08-23 15:10:22 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:10:22 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w00.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.19s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.26s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.27s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.18it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.01it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:07,  2.81s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:05,  2.84s/it]Evaluation:  12%|█▏        | 3/25 [00:08<01:04,  2.93s/it]Evaluation:  16%|█▌        | 4/25 [00:10<00:54,  2.61s/it]Evaluation:  20%|██        | 5/25 [00:13<00:50,  2.53s/it]Evaluation:  24%|██▍       | 6/25 [00:15<00:47,  2.51s/it]Evaluation:  28%|██▊       | 7/25 [00:18<00:46,  2.61s/it]Evaluation:  32%|███▏      | 8/25 [00:20<00:41,  2.44s/it]Evaluation:  36%|███▌      | 9/25 [00:22<00:38,  2.41s/it]Evaluation:  40%|████      | 10/25 [00:25<00:34,  2.31s/it]Evaluation:  44%|████▍     | 11/25 [00:29<00:42,  3.02s/it]Evaluation:  48%|████▊     | 12/25 [00:32<00:38,  2.94s/it]Evaluation:  52%|█████▏    | 13/25 [00:35<00:36,  3.08s/it]Evaluation:  56%|█████▌    | 14/25 [00:38<00:31,  2.86s/it]Evaluation:  60%|██████    | 15/25 [00:40<00:26,  2.63s/it]Evaluation:  64%|██████▍   | 16/25 [00:43<00:25,  2.83s/it]Evaluation:  68%|██████▊   | 17/25 [00:46<00:21,  2.73s/it]Evaluation:  72%|███████▏  | 18/25 [00:48<00:17,  2.54s/it]Evaluation:  76%|███████▌  | 19/25 [00:48<00:12,  2.02s/it]Evaluation:  80%|████████  | 20/25 [00:50<00:08,  1.77s/it]Evaluation:  84%|████████▍ | 21/25 [00:51<00:06,  1.55s/it]Evaluation:  88%|████████▊ | 22/25 [00:52<00:04,  1.35s/it]Evaluation:  92%|█████████▏| 23/25 [00:52<00:02,  1.22s/it]Evaluation:  96%|█████████▌| 24/25 [00:53<00:01,  1.16s/it]Evaluation: 100%|██████████| 25/25 [00:55<00:00,  1.19s/it]Evaluation: 100%|██████████| 25/25 [00:55<00:00,  2.21s/it]
2025-08-23 15:11:29 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:11:29 INFO: - n_context: 5
2025-08-23 15:11:29 INFO: - context_type: triples
2025-08-23 15:11:29 INFO: - {'exact_match': 0.37, 'f1': 0.4329318362796623, 'precision': 0.44353968253968257, 'recall': 0.4429090909090909, 'avg_num_tokens': 170.48}
2025-08-23 15:11:29 INFO: - ================================================================
Le Building 	 ['NBC']
plant genus 	 ['genus']
Bob Bergen 	 ['Jeff Sutphen']
Karri Forest Region. 	 ['the Bowland Fells']
Avi Kaplan 	 ['Daft Punk']
I Am Legend 	 ['The Island']
2003 	 ['20 March to 1 May 2003']
Both Borassodendron and Chelidonium are types of flowering plants. 	 ['plant']
No 	 ['yes']
Hibbing, Minnesota 	 ['761']
Oscar Hammerstein II 	 ['Albert Camus']
1886 	 ['1904']
Tenth place. 	 ['runner-up']
Kenny Hotz is a contributor for Vice Magazine. 	 ['Vice']
Carolina Kostner 	 ['Isolde Kostner']
Northwestern University 	 ['Beverly Hills High School']
Fearless 	 ['fifth album']
Defensive end. 	 ['quarterback']
Kelly Gregg 	 ['Dusty Dvoracek']
Slavs. 	 ['Germanic, Baltic and Thracian tribes']
Brian Smith 	 ['Mario Lemieux']
1959 (Little Queenie) to 1963 (Chuck Berry on Stage) is 4 years. 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru Stadium 	 ['first Prime Minister of India']
The United Kingdom 	 ['Ireland']
Not provided in the context. 	 ['72-78']
General Benedict Arnold 	 ['Benedict Arnold']
Campbell Field (Colorado) 	 ['South Kesteven Sports Stadium']
None, since Princess Ōku was born in 661, not 1963. 	 ['Aiko, Princess Toshi']
Wayne Elcock 	 ['Marco Antonio Barrera']
southwestern Europe 	 ['Iberian Peninsula']
None. 	 ['Hume Highway']
Lawrence Technological University 	 ['University of North Texas']
Killingholme B Power Station. 	 ['the A160']
Italian 	 ['American']
Capsicum annuum 	 ['"Capsicum chinense"']
"Animal" 	 ['Hillary Clinton']
My Bloody Valentine 	 ['Herzeleid']
There is no mention of CareFusion in the given context. The context only talks about Exit Tunes, Inc. and 	 ['1897']
None, as Mohamed Salah is from Egypt, not Basyoun. 	 ['Ahmed Elmohamady']
computer graphics and animatronics 	 ['animation']
The Royal Navy. 	 ['British Armed Forces']
Roja 	 ['Kadhalan']
Dnipro. 	 ['Cherepanov Hill']
Alabama 	 ['University of Alabama']
KFC 	 ['Pizza Hut']
1987 	 ['1939']
1957 	 ['1962']
Harbour Square Park 	 ['Metreon']
Robert van Tonder 	 ['Viktor Uspaskich']
James Clerk Maxwell helped to develop the concept of coherence. 	 ['classical theory of electromagnetic radiation']
Spanish 	 ['Mexican']
February 16, 2012 	 ['December 7, 2008']
Betty Shabazz. 	 ['Betty X']
Golden Rax Pizzabuffet 	 ['Extreme Pizza']
Howard Jones 	 ['Anna Mae Bullock']
Angela Nissel 	 ['Angela R. Nissel']
E. LyondellBasell 	 ['Netherlands']
Vincent van Gogh 	 ['Theodorus "Theo" van Gogh']
Indian National Army trials 	 ['Indian Rebellion of 1857']
Not mentioned in the context. 	 ['Italian pianist and composer']
Red Velvet's Joy. 	 ['actress']
Buenos Aires 	 ['Amsterdam']
Glee. 	 ['Project Runway']
