nohup: ignoring input
2025-08-07 12:16:36 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-07 12:16:36 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/dev100_with_reasoning_chains_modify.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:06,  2.21s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:04<00:04,  2.17s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:07<00:02,  2.49s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  1.82s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  2.00s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:47,  1.98s/it]Evaluation:   8%|▊         | 2/25 [00:03<00:34,  1.51s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:28,  1.30s/it]Evaluation:  16%|█▌        | 4/25 [00:05<00:25,  1.22s/it]Evaluation:  20%|██        | 5/25 [00:06<00:22,  1.14s/it]Evaluation:  24%|██▍       | 6/25 [00:07<00:21,  1.15s/it]Evaluation:  28%|██▊       | 7/25 [00:08<00:18,  1.03s/it]Evaluation:  32%|███▏      | 8/25 [00:09<00:18,  1.10s/it]Evaluation:  36%|███▌      | 9/25 [00:10<00:18,  1.17s/it]Evaluation:  40%|████      | 10/25 [00:11<00:16,  1.13s/it]Evaluation:  44%|████▍     | 11/25 [00:13<00:16,  1.17s/it]Evaluation:  48%|████▊     | 12/25 [00:14<00:14,  1.12s/it]Evaluation:  52%|█████▏    | 13/25 [00:15<00:13,  1.13s/it]Evaluation:  56%|█████▌    | 14/25 [00:16<00:12,  1.11s/it]Evaluation:  60%|██████    | 15/25 [00:17<00:11,  1.10s/it]Evaluation:  64%|██████▍   | 16/25 [00:18<00:09,  1.09s/it]Evaluation:  68%|██████▊   | 17/25 [00:19<00:09,  1.19s/it]Evaluation:  72%|███████▏  | 18/25 [00:21<00:09,  1.36s/it]Evaluation:  76%|███████▌  | 19/25 [00:23<00:09,  1.65s/it]Evaluation:  80%|████████  | 20/25 [00:26<00:09,  1.86s/it]Evaluation:  84%|████████▍ | 21/25 [00:28<00:07,  2.00s/it]Evaluation:  88%|████████▊ | 22/25 [00:31<00:06,  2.11s/it]Evaluation:  92%|█████████▏| 23/25 [00:33<00:04,  2.15s/it]Evaluation:  96%|█████████▌| 24/25 [00:37<00:02,  2.64s/it]Evaluation: 100%|██████████| 25/25 [00:39<00:00,  2.59s/it]Evaluation: 100%|██████████| 25/25 [00:39<00:00,  1.58s/it]
2025-08-07 12:17:39 INFO: - ====================== Evaluation Results ======================
2025-08-07 12:17:39 INFO: - n_context: 5
2025-08-07 12:17:39 INFO: - context_type: triples
2025-08-07 12:17:39 INFO: - {'exact_match': 0.4, 'f1': 0.4682539682539682, 'precision': 0.4730238095238095, 'recall': 0.4836666666666667, 'avg_num_tokens': 171.46}
2025-08-07 12:17:39 INFO: - ================================================================
Yes 	 ['no']
Boston College. 	 ['University of Delaware']
ABC 	 ['NBC']
Monocotyledonous flowering plants. 	 ['genus']
Kirk Fogg 	 ['Jeff Sutphen']
the "Switzerland of England" 	 ['the Bowland Fells']
Jimmy Smagula 	 ['The Island']
2003 	 ['20 March to 1 May 2003']
A type of flowering plant. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
No 	 ['yes']
Taejon Massacre 	 ['Bodo League massacre']
MTV India. 	 ['Channel V']
Fyodor Dostoyevsky 	 ['Albert Camus']
Cardinal Francis Spellman 	 ['Paul Marcinkus']
1852 	 ['1904']
Champion 	 ['runner-up']
Hollywood High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight 	 ['Welterweight']
Wide receiver. 	 ['quarterback']
New York Yankees 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
Mario Lemieux and Wayne Gretzky. 	 ['Mario Lemieux']
Sergei Rachmaninoff 	 ['Alexander Scriabin']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
United Kingdom 	 ['Ireland']
72-78 passengers 	 ['72-78']
Sir Henry Clinton 	 ['Benedict Arnold']
Wembley Stadium 	 ['South Kesteven Sports Stadium']
Hisahito 	 ['Aiko, Princess Toshi']
Princes Highway 	 ['Hume Highway']
Lawrence Technological University. 	 ['University of North Texas']
The Humber Refinery. 	 ['the A160']
Barack Obama 	 ['Hillary Clinton']
Sehnsucht 	 ['Herzeleid']
live-action 	 ['animation']
Stevie Ray Vaughan 	 ['Jeff Healey']
Royal Air Force 	 ['British Armed Forces']
Vydubychi Hill 	 ['Cherepanov Hill']
Julien Benneteau 	 ['"Arantxa" Sánchez Vicario']
University of Oklahoma 	 ['University of Alabama']
1945 	 ['1939']
Aquatium 	 ['Metreon']
The Country Bears 	 ['The London Connection']
Canadian 	 ['Mexican']
September 23, 2001 	 ['December 7, 2008']
No 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Diana Ernestine Earle Ross 	 ['Anna Mae Bullock']
Blaik Field 	 ['Michie Stadium']
Ethan Reckless 	 ['Angela R. Nissel']
Michael Schumacher 	 ['Alessandro Nannini']
Vincent Willem van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has collaborated with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
dancer 	 ['actress']
London 	 ['Amsterdam']
Yes 	 ['no']
Project Runway and America's Next Top Model. 	 ['Project Runway']
