2025-08-24 02:55:44 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:55:44 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w01.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.04s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.23s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.19s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.25it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.07it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:42,  1.76s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:31,  1.37s/it]Evaluation:  12%|█▏        | 3/25 [00:03<00:26,  1.21s/it]Evaluation:  16%|█▌        | 4/25 [00:04<00:22,  1.09s/it]Evaluation:  20%|██        | 5/25 [00:05<00:19,  1.04it/s]Evaluation:  24%|██▍       | 6/25 [00:06<00:19,  1.02s/it]Evaluation:  28%|██▊       | 7/25 [00:07<00:18,  1.02s/it]Evaluation:  32%|███▏      | 8/25 [00:08<00:18,  1.07s/it]Evaluation:  36%|███▌      | 9/25 [00:09<00:16,  1.05s/it]Evaluation:  40%|████      | 10/25 [00:11<00:17,  1.19s/it]Evaluation:  44%|████▍     | 11/25 [00:12<00:18,  1.32s/it]Evaluation:  48%|████▊     | 12/25 [00:14<00:19,  1.52s/it]Evaluation:  52%|█████▏    | 13/25 [00:16<00:19,  1.64s/it]Evaluation:  56%|█████▌    | 14/25 [00:18<00:18,  1.71s/it]Evaluation:  60%|██████    | 15/25 [00:20<00:18,  1.83s/it]Evaluation:  64%|██████▍   | 16/25 [00:22<00:16,  1.85s/it]Evaluation:  68%|██████▊   | 17/25 [00:25<00:16,  2.00s/it]Evaluation:  72%|███████▏  | 18/25 [00:26<00:13,  1.88s/it]Evaluation:  76%|███████▌  | 19/25 [00:29<00:12,  2.05s/it]Evaluation:  80%|████████  | 20/25 [00:32<00:12,  2.43s/it]Evaluation:  84%|████████▍ | 21/25 [00:34<00:09,  2.46s/it]Evaluation:  88%|████████▊ | 22/25 [00:36<00:06,  2.25s/it]Evaluation:  92%|█████████▏| 23/25 [00:38<00:04,  2.11s/it]Evaluation:  96%|█████████▌| 24/25 [00:40<00:02,  2.07s/it]Evaluation: 100%|██████████| 25/25 [00:42<00:00,  2.03s/it]Evaluation: 100%|██████████| 25/25 [00:42<00:00,  1.70s/it]
2025-08-24 02:56:37 INFO: - ====================== Evaluation Results ======================
2025-08-24 02:56:37 INFO: - n_context: 5
2025-08-24 02:56:37 INFO: - context_type: triples
2025-08-24 02:56:37 INFO: - {'exact_match': 0.7, 'f1': 0.7325833333333333, 'precision': 0.7306666666666666, 'recall': 0.7533333333333333, 'avg_num_tokens': 143.61}
2025-08-24 02:56:37 INFO: - ================================================================
Yes 	 ['no']
Yes. 	 ['no']
Yes. 	 ['no']
1364 	 ['8 April 1364']
Yes. 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
not provided in the given context. 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
2002 	 ['Half Past Dead']
19 April 2004 	 ['Melbourne']
W. S. Van Dyke 	 ['The Cuban Love Song']
Maya Bazaar (1995 film) 	 ['3688']
1920 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
United States 	 ['American']
Chinese 	 ['no']
11 November 1991 	 ['Auckland']
Shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Yes. 	 ['no']
Loyal Lives (1923) 	 ['Loyal Lives']
1918 	 ['Beauty And The Rogue']
Yes 	 ['no']
No 	 ['yes']
American 	 ['America']
