2025-08-24 03:12:33 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:12:33 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w09.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.12s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.22s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.22s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.23it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.05it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:04<01:39,  4.17s/it]Evaluation:   8%|▊         | 2/25 [00:06<01:11,  3.10s/it]Evaluation:  12%|█▏        | 3/25 [00:08<01:00,  2.76s/it]Evaluation:  16%|█▌        | 4/25 [00:11<00:54,  2.61s/it]Evaluation:  20%|██        | 5/25 [00:12<00:44,  2.24s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:39,  2.06s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:35,  1.98s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:40,  2.37s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:35,  2.23s/it]Evaluation:  40%|████      | 10/25 [00:27<00:49,  3.32s/it]Evaluation:  44%|████▍     | 11/25 [00:30<00:44,  3.21s/it]Evaluation:  48%|████▊     | 12/25 [00:34<00:46,  3.56s/it]Evaluation:  52%|█████▏    | 13/25 [00:36<00:35,  2.94s/it]Evaluation:  56%|█████▌    | 14/25 [00:37<00:26,  2.45s/it]Evaluation:  60%|██████    | 15/25 [00:39<00:24,  2.49s/it]Evaluation:  64%|██████▍   | 16/25 [00:41<00:20,  2.33s/it]Evaluation:  68%|██████▊   | 17/25 [00:44<00:19,  2.48s/it]Evaluation:  72%|███████▏  | 18/25 [00:46<00:16,  2.30s/it]Evaluation:  76%|███████▌  | 19/25 [00:48<00:13,  2.22s/it]Evaluation:  80%|████████  | 20/25 [00:55<00:17,  3.48s/it]Evaluation:  84%|████████▍ | 21/25 [00:59<00:15,  3.78s/it]Evaluation:  88%|████████▊ | 22/25 [01:02<00:10,  3.42s/it]Evaluation:  92%|█████████▏| 23/25 [01:07<00:07,  3.90s/it]Evaluation:  96%|█████████▌| 24/25 [01:09<00:03,  3.56s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  3.42s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  2.92s/it]
2025-08-24 03:13:59 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:13:59 INFO: - n_context: 5
2025-08-24 03:13:59 INFO: - context_type: documents
2025-08-24 03:13:59 INFO: - {'exact_match': 0.38, 'f1': 0.4232539682539682, 'precision': 0.42392156862745095, 'recall': 0.43666666666666665, 'avg_num_tokens': 416.32}
2025-08-24 03:13:59 INFO: - ================================================================
yes 	 ['no']
yes 	 ['no']
April 10, 1943 	 ['12 April 1942']
A heart attack. 	 ['hanging']
December 11, 1999 	 ['December 11, 1984']
Swerve (Film) 	 ['Innale']
The Big Caper 	 ['Grips, Grunts And Groans']
April 10, 1363 	 ['8 April 1364']
Yes. 	 ['no']
July 4, 2003 	 ['August 20, 2004']
Spanish 	 ['no']
Humphrey Bogart 	 ['Lucien Guitry']
Eindhoven 	 ['Dutch']
Chennai 	 ['Karaikudi']
Kolkata, India 	 ['Asahikawa']
10 February 1927 	 ['4 December 1922']
The United Kingdom. 	 ['India']
Robert De Niro 	 ['Irwin Winkler']
The director of the film "Dealers" is from the United Kingdom. 	 ['American']
Worthing, Sussex. 	 ['Worthing']
Half Past Dead (2002) 	 ['Half Past Dead']
Downtown Rumble (Tv Series) 	 ['Ekk Deewana Tha']
January 8, 1820 	 ['November 17, 1808']
Paris 	 ['Melbourne']
Tell Me I'M Dreaming 	 ['An Odyssey Of The North']
'Amor a primera vista' 	 ['The Cuban Love Song']
Maya Bazaar (1995 Film) 	 ['3688']
February 29, 1976 	 ['March 11, 1975']
Quentin Braat. 	 ['Simeon T. Josselyn']
Stockholm, Sweden. 	 ['Eisenach']
A Gentleman of France (1921) 	 ['A Gentleman Of France']
Yes. 	 ['no']
Iranian 	 ['India']
John Travolta. 	 ['Anne Brooksbank']
No. 	 ['yes']
Yes. 	 ['no']
Gustavo Couttolenc. 	 ['Peter Diversi']
Yes. 	 ['no']
July 19, 1967 	 ['20 June 1968']
1680 	 ['1 November 1680']
Canadian 	 ['American']
No. 	 ['yes']
Death On The Job. 	 ['Rock All Night']
Yes. 	 ['no']
Yes 	 ['no']
Los Angeles. 	 ['Auckland']
April 1, 1955 	 ['October 21, 1954']
Leopoldo Penna Franca 	 ['Hermann Speelmans']
No. 	 ['yes']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Yes. 	 ['no']
Che (2014 Film) 	 ['Loyal Lives']
Arizona Dream 	 ['The Heiress']
February 14, 2023 	 ['May 5, 1972']
Eleanor Roosevelt 	 ['Edith Posca']
May 22, 1954 	 ['October 28, 1953']
Love Faces (Film) 	 ['Beauty And The Rogue']
yes 	 ['no']
yes 	 ['no']
No 	 ['yes']
yes 	 ['no']
American 	 ['America']
