2025-09-10 07:10:55 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-09-10 07:10:55 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w10.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:11,  3.78s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:09<00:09,  4.90s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:12<00:04,  4.17s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:13<00:00,  2.81s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:13<00:00,  3.38s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:46,  1.93s/it]Evaluation:   8%|▊         | 2/25 [00:03<00:33,  1.46s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:29,  1.34s/it]Evaluation:  16%|█▌        | 4/25 [00:05<00:25,  1.19s/it]Evaluation:  20%|██        | 5/25 [00:06<00:24,  1.20s/it]Evaluation:  24%|██▍       | 6/25 [00:07<00:21,  1.12s/it]Evaluation:  28%|██▊       | 7/25 [00:08<00:18,  1.00s/it]Evaluation:  32%|███▏      | 8/25 [00:09<00:16,  1.01it/s]Evaluation:  36%|███▌      | 9/25 [00:10<00:16,  1.05s/it]Evaluation:  40%|████      | 10/25 [00:11<00:16,  1.08s/it]Evaluation:  44%|████▍     | 11/25 [00:12<00:14,  1.05s/it]Evaluation:  48%|████▊     | 12/25 [00:13<00:13,  1.00s/it]Evaluation:  52%|█████▏    | 13/25 [00:14<00:12,  1.04s/it]Evaluation:  56%|█████▌    | 14/25 [00:15<00:11,  1.01s/it]Evaluation:  60%|██████    | 15/25 [00:16<00:10,  1.01s/it]Evaluation:  64%|██████▍   | 16/25 [00:17<00:09,  1.04s/it]Evaluation:  68%|██████▊   | 17/25 [00:18<00:08,  1.08s/it]Evaluation:  72%|███████▏  | 18/25 [00:19<00:07,  1.01s/it]Evaluation:  76%|███████▌  | 19/25 [00:20<00:05,  1.01it/s]Evaluation:  80%|████████  | 20/25 [00:21<00:05,  1.09s/it]Evaluation:  84%|████████▍ | 21/25 [00:22<00:04,  1.02s/it]Evaluation:  88%|████████▊ | 22/25 [00:23<00:03,  1.02s/it]Evaluation:  92%|█████████▏| 23/25 [00:24<00:01,  1.00it/s]Evaluation:  96%|█████████▌| 24/25 [00:26<00:01,  1.20s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.16s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.09s/it]
2025-09-10 07:11:45 INFO: - ====================== Evaluation Results ======================
2025-09-10 07:11:45 INFO: - n_context: 5
2025-09-10 07:11:45 INFO: - context_type: triples
2025-09-10 07:11:45 INFO: - {'exact_match': 0.43, 'f1': 0.5218214285714285, 'precision': 0.5215995670995671, 'recall': 0.5386666666666666, 'avg_num_tokens': 157.34}
2025-09-10 07:11:45 INFO: - ================================================================
Yes 	 ['no']
Boston College. 	 ['University of Delaware']
ABC 	 ['NBC']
Monocotyledonous flowering plants. 	 ['genus']
Kirk Fogg 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
The Island (2005 film) 	 ['The Island']
A type of flowering plant. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
No 	 ['yes']
Taejon Massacre 	 ['Bodo League massacre']
MTV India. 	 ['Channel V']
Cardinal Francis Spellman 	 ['Paul Marcinkus']
1852 	 ['1904']
Champion 	 ['runner-up']
Hollywood High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Middleweight 	 ['Welterweight']
Beverly Hills Supper Club 	 ['Beverly Hills Supper Club fire']
Wide receiver. 	 ['quarterback']
New York Yankees 	 ['Texas Rangers']
Slavic, Hungarian, and Romanian groups. 	 ['Germanic, Baltic and Thracian tribes']
Sergei Rachmaninoff 	 ['Alexander Scriabin']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
United Kingdom 	 ['Ireland']
72-78 passengers 	 ['72-78']
General Sir Henry Clinton 	 ['Benedict Arnold']
Wembley Stadium 	 ['South Kesteven Sports Stadium']
Princes Highway 	 ['Hume Highway']
Lawrence Technological University. 	 ['University of North Texas']
Humber Refinery. 	 ['the A160']
Barack Obama 	 ['Hillary Clinton']
Sehnsucht 	 ['Herzeleid']
live-action 	 ['animation']
Royal Air Force 	 ['British Armed Forces']
Vydubychi Hill 	 ['Cherepanov Hill']
University of Oklahoma 	 ['University of Alabama']
1945 	 ['1939']
1964 	 ['1962']
Aquatium 	 ['Metreon']
bringing together electricity, magnetism, and light as manifestations of the same phenomenon 	 ['classical theory of electromagnetic radiation']
The Country Bears 	 ['The London Connection']
September 23, 2001 	 ['December 7, 2008']
Betty Shabazz 	 ['Betty X']
Pizza Inn 	 ['Extreme Pizza']
Diana Ernestine Earle Ross 	 ['Anna Mae Bullock']
Blaik Field 	 ['Michie Stadium']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Michael Schumacher 	 ['Alessandro Nannini']
Vincent Willem van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has performed with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
dancer 	 ['actress']
London 	 ['Amsterdam']
Yes 	 ['no']
Project Runway and America's Next Top Model. 	 ['Project Runway']
