2025-08-24 02:57:46 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:57:46 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w03.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.12s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.21s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.21s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.24it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.06it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:34,  1.46s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:26,  1.17s/it]Evaluation:  12%|█▏        | 3/25 [00:03<00:24,  1.10s/it]Evaluation:  16%|█▌        | 4/25 [00:04<00:20,  1.05it/s]Evaluation:  20%|██        | 5/25 [00:04<00:17,  1.14it/s]Evaluation:  24%|██▍       | 6/25 [00:05<00:17,  1.10it/s]Evaluation:  28%|██▊       | 7/25 [00:06<00:17,  1.05it/s]Evaluation:  32%|███▏      | 8/25 [00:08<00:17,  1.00s/it]Evaluation:  36%|███▌      | 9/25 [00:08<00:15,  1.01it/s]Evaluation:  40%|████      | 10/25 [00:09<00:14,  1.00it/s]Evaluation:  44%|████▍     | 11/25 [00:10<00:13,  1.02it/s]Evaluation:  48%|████▊     | 12/25 [00:11<00:12,  1.05it/s]Evaluation:  52%|█████▏    | 13/25 [00:12<00:11,  1.07it/s]Evaluation:  56%|█████▌    | 14/25 [00:14<00:13,  1.23s/it]Evaluation:  60%|██████    | 15/25 [00:16<00:13,  1.36s/it]Evaluation:  64%|██████▍   | 16/25 [00:18<00:13,  1.48s/it]Evaluation:  68%|██████▊   | 17/25 [00:19<00:12,  1.56s/it]Evaluation:  72%|███████▏  | 18/25 [00:21<00:10,  1.56s/it]Evaluation:  76%|███████▌  | 19/25 [00:23<00:09,  1.64s/it]Evaluation:  80%|████████  | 20/25 [00:26<00:10,  2.06s/it]Evaluation:  84%|████████▍ | 21/25 [00:28<00:08,  2.09s/it]Evaluation:  88%|████████▊ | 22/25 [00:30<00:06,  2.10s/it]Evaluation:  92%|█████████▏| 23/25 [00:32<00:03,  1.96s/it]Evaluation:  96%|█████████▌| 24/25 [00:33<00:01,  1.88s/it]Evaluation: 100%|██████████| 25/25 [00:35<00:00,  1.78s/it]Evaluation: 100%|██████████| 25/25 [00:35<00:00,  1.42s/it]
2025-08-24 02:58:36 INFO: - ====================== Evaluation Results ======================
2025-08-24 02:58:36 INFO: - n_context: 5
2025-08-24 02:58:36 INFO: - context_type: triples
2025-08-24 02:58:36 INFO: - {'exact_match': 0.74, 'f1': 0.7645833333333333, 'precision': 0.7573333333333333, 'recall': 0.79, 'avg_num_tokens': 122.37}
2025-08-24 02:58:36 INFO: - ================================================================
Yes 	 ['no']
Yes. 	 ['no']
Execution by hanging. 	 ['hanging']
Yes 	 ['no']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
1950 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Maya Bazaar (1995 film) 	 ['3688']
Pomerania 	 ['Eisenach']
Yes 	 ['no']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
Yes 	 ['no']
United States 	 ['American']
11 November 1991 	 ['Auckland']
shot and killed in the archway of his Manhattan apartment building three weeks after the album's release 	 ['shot']
1918 	 ['Beauty And The Rogue']
Yes 	 ['no']
No 	 ['yes']
American 	 ['America']
