2025-08-23 15:16:38 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:16:38 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w05.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.17s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.26s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.41s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.06it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.08s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:39,  1.65s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:32,  1.43s/it]Evaluation:  12%|█▏        | 3/25 [00:05<00:38,  1.75s/it]Evaluation:  16%|█▌        | 4/25 [00:07<00:40,  1.94s/it]Evaluation:  20%|██        | 5/25 [00:09<00:40,  2.01s/it]Evaluation:  24%|██▍       | 6/25 [00:11<00:36,  1.90s/it]Evaluation:  28%|██▊       | 7/25 [00:13<00:37,  2.09s/it]Evaluation:  32%|███▏      | 8/25 [00:15<00:35,  2.07s/it]Evaluation:  36%|███▌      | 9/25 [00:18<00:36,  2.28s/it]Evaluation:  40%|████      | 10/25 [00:20<00:34,  2.31s/it]Evaluation:  44%|████▍     | 11/25 [00:22<00:30,  2.15s/it]Evaluation:  48%|████▊     | 12/25 [00:24<00:26,  2.07s/it]Evaluation:  52%|█████▏    | 13/25 [00:26<00:23,  1.99s/it]Evaluation:  56%|█████▌    | 14/25 [00:28<00:21,  1.98s/it]Evaluation:  60%|██████    | 15/25 [00:30<00:21,  2.16s/it]Evaluation:  64%|██████▍   | 16/25 [00:32<00:18,  2.06s/it]Evaluation:  68%|██████▊   | 17/25 [00:34<00:16,  2.12s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:15,  2.17s/it]Evaluation:  76%|███████▌  | 19/25 [00:39<00:13,  2.25s/it]Evaluation:  80%|████████  | 20/25 [00:41<00:10,  2.11s/it]Evaluation:  84%|████████▍ | 21/25 [00:43<00:08,  2.06s/it]Evaluation:  88%|████████▊ | 22/25 [00:45<00:06,  2.03s/it]Evaluation:  92%|█████████▏| 23/25 [00:47<00:04,  2.04s/it]Evaluation:  96%|█████████▌| 24/25 [00:51<00:02,  2.63s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.58s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.15s/it]
2025-08-23 15:17:49 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:17:49 INFO: - n_context: 5
2025-08-23 15:17:49 INFO: - context_type: triples
2025-08-23 15:17:49 INFO: - {'exact_match': 0.72, 'f1': 0.7754523809523809, 'precision': 0.780595238095238, 'recall': 0.7933333333333333, 'avg_num_tokens': 147.94}
2025-08-23 15:17:49 INFO: - ================================================================
February 26, 2009 	 ['NBC']
Monocotyledonous 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
The Island (2005 film) 	 ['The Island']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
1852 	 ['1904']
runner-up in the Bundesliga to SV Werder Bremen 	 ['runner-up']
Westwood Jr. High School 	 ['Beverly Hills High School']
1989 	 ['fifth album']
Baltic, Germanic, and Thracian tribes. 	 ['Germanic, Baltic and Thracian tribes']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
Naseem Hamed 	 ['Marco Antonio Barrera']
Lawrence Technological University 	 ['University of North Texas']
Humber Refinery. 	 ['the A160']
Red Bhutlah and Trinidad Douglah. 	 ['"Capsicum chinense"']
Rosenrot 	 ['Herzeleid']
Stop-motion animation. 	 ['animation']
1968 	 ['1939']
1979 	 ['The London Connection']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
LyondellBasell. 	 ['Netherlands']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi collaborated with Canzoniere Grecanico Salentino on the album Diario Mali 	 ['Italian pianist and composer']
Daesung 	 ['actress']
On the Road with Austin and Santino. 	 ['Project Runway']
