2025-08-24 03:03:00 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:03:00 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w03.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:04,  1.56s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:03<00:03,  1.74s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:05<00:01,  1.68s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.09s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:05<00:00,  1.31s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:05<02:03,  5.15s/it]Evaluation:   8%|▊         | 2/25 [00:12<02:30,  6.53s/it]Evaluation:  12%|█▏        | 3/25 [00:19<02:27,  6.69s/it]Evaluation:  16%|█▌        | 4/25 [00:23<01:58,  5.65s/it]Evaluation:  20%|██        | 5/25 [00:25<01:29,  4.48s/it]Evaluation:  24%|██▍       | 6/25 [00:31<01:29,  4.69s/it]Evaluation:  28%|██▊       | 7/25 [00:34<01:14,  4.16s/it]Evaluation:  32%|███▏      | 8/25 [00:40<01:20,  4.76s/it]Evaluation:  36%|███▌      | 9/25 [00:43<01:10,  4.43s/it]Evaluation:  40%|████      | 10/25 [00:53<01:31,  6.12s/it]Evaluation:  44%|████▍     | 11/25 [00:57<01:13,  5.25s/it]Evaluation:  48%|████▊     | 12/25 [00:58<00:53,  4.13s/it]Evaluation:  52%|█████▏    | 13/25 [00:59<00:39,  3.28s/it]Evaluation:  56%|█████▌    | 14/25 [01:01<00:29,  2.69s/it]Evaluation:  60%|██████    | 15/25 [01:04<00:27,  2.73s/it]Evaluation:  64%|██████▍   | 16/25 [01:06<00:23,  2.59s/it]Evaluation:  68%|██████▊   | 17/25 [01:09<00:21,  2.64s/it]Evaluation:  72%|███████▏  | 18/25 [01:10<00:15,  2.16s/it]Evaluation:  76%|███████▌  | 19/25 [01:11<00:12,  2.03s/it]Evaluation:  80%|████████  | 20/25 [01:22<00:23,  4.64s/it]Evaluation:  84%|████████▍ | 21/25 [01:29<00:21,  5.43s/it]Evaluation:  88%|████████▊ | 22/25 [01:34<00:15,  5.31s/it]Evaluation:  92%|█████████▏| 23/25 [01:45<00:13,  7.00s/it]Evaluation:  96%|█████████▌| 24/25 [01:51<00:06,  6.71s/it]Evaluation: 100%|██████████| 25/25 [01:58<00:00,  6.70s/it]Evaluation: 100%|██████████| 25/25 [01:58<00:00,  4.74s/it]
2025-08-24 03:05:20 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:05:20 INFO: - n_context: 5
2025-08-24 03:05:20 INFO: - context_type: documents
2025-08-24 03:05:20 INFO: - {'exact_match': 0.7, 'f1': 0.7481069094304388, 'precision': 0.7425925642984467, 'recall': 0.7933333333333333, 'avg_num_tokens': 379.33}
2025-08-24 03:05:20 INFO: - ================================================================
Yes. 	 ['no']
Yes. 	 ['no']
execution by hanging on 30 December 2006. 	 ['hanging']
Yes. 	 ['no']
P. Padmarajan, the director of Innale, died earlier, on 24 January 1991. 	 ['Innale']
1364 	 ['8 April 1364']
Yes. 	 ['no']
No. 	 ['yes']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
Britain 	 ['American']
Worthing, Sussex. 	 ['Worthing']
United States 	 ['American']
Half Past Dead (2002) 	 ['Half Past Dead']
19 April 2004 	 ['Melbourne']
The Cuban Love Song (1931) 	 ['The Cuban Love Song']
Dasari Narayana Rao directed Maya Bazaar (1995 film), and he was born on 4 May 194 	 ['3688']
Eisenach, Germany 	 ['Eisenach']
Yes 	 ['no']
Indian 	 ['India']
No. 	 ['yes']
Peter Diversi died later, at the age of 85, while Gustavo Couttolenc died at the age of 	 ['Peter Diversi']
The United States. 	 ['American']
Chinese 	 ['no']
New Zealand 	 ['Auckland']
He was shot and killed in the archway of his Manhattan apartment building three weeks after the album's release. 	 ['shot']
Ben-Hur (1959) 	 ['The Heiress']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
