2025-08-24 07:16:23 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:16:23 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w05.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.10s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.17s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.18s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.27it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.08it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:12,  3.00s/it]Evaluation:   8%|▊         | 2/25 [00:05<00:56,  2.46s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:49,  2.26s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:47,  2.28s/it]Evaluation:  20%|██        | 5/25 [00:11<00:43,  2.19s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:41,  2.16s/it]Evaluation:  28%|██▊       | 7/25 [00:15<00:39,  2.22s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:39,  2.34s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:34,  2.16s/it]Evaluation:  40%|████      | 10/25 [00:22<00:33,  2.25s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:30,  2.17s/it]Evaluation:  48%|████▊     | 12/25 [00:27<00:30,  2.36s/it]Evaluation:  52%|█████▏    | 13/25 [00:29<00:28,  2.40s/it]Evaluation:  56%|█████▌    | 14/25 [00:33<00:31,  2.87s/it]Evaluation:  60%|██████    | 15/25 [00:35<00:25,  2.53s/it]Evaluation:  64%|██████▍   | 16/25 [00:37<00:21,  2.39s/it]Evaluation:  68%|██████▊   | 17/25 [00:39<00:18,  2.31s/it]Evaluation:  72%|███████▏  | 18/25 [00:41<00:15,  2.21s/it]Evaluation:  76%|███████▌  | 19/25 [00:44<00:13,  2.23s/it]Evaluation:  80%|████████  | 20/25 [00:46<00:10,  2.18s/it]Evaluation:  84%|████████▍ | 21/25 [00:48<00:09,  2.26s/it]Evaluation:  88%|████████▊ | 22/25 [00:50<00:06,  2.25s/it]Evaluation:  92%|█████████▏| 23/25 [00:52<00:04,  2.14s/it]Evaluation:  96%|█████████▌| 24/25 [00:54<00:02,  2.16s/it]Evaluation: 100%|██████████| 25/25 [00:57<00:00,  2.43s/it]Evaluation: 100%|██████████| 25/25 [00:57<00:00,  2.32s/it]
2025-08-24 07:17:33 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:17:33 INFO: - n_context: 5
2025-08-24 07:17:33 INFO: - context_type: triples
2025-08-24 07:17:33 INFO: - {'exact_match': 0.45, 'f1': 0.5169083694083694, 'precision': 0.539, 'recall': 0.5210952380952381, 'avg_num_tokens': 158.02}
2025-08-24 07:17:33 INFO: - ================================================================
March 1855 	 ['April 1858']
France 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
100,000 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Not mentioned in the context. 	 ['Visva-Bharati University']
Not applicable. 	 ['1773']
The Assyrians. 	 ['Kurdish people']
Peter Grant and Swan Song Records. 	 ['Peter Grant']
Asia 	 ['Central Asia']
Michelangelo. 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Karstadt 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
1895 	 ['1963']
By a considerable margin. 	 ["Europe's most innovative country", 'Europe']
1980 	 ['December 1917']
1920 	 ['1895']
The flag of Australia. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
597 	 ['1909']
24 hours. 	 ['24 hours a day']
The Rhode Island Department of Transportation (RIDOT). 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one signed the Declaration of Independence from the state where Keedy House is located, as the Keedy House is located in 	 ['Charles Carroll']
Pius XII 	 ['Castel Gandolfo']
None, Elk Landing is located in Cecil County, Maryland, and none of the signers of the Declaration of Independence were from 	 ['Charles Carroll']
Joseph Chiarello 	 ['Catherine Zeta-Jones']
Momos 	 ['yak meat']
London 	 ['former Acting Mayor London Breed', 'London Breed']
The Lewis Range. 	 ['Rocky Mountains']
Voyager 2 	 ['Voyager probes']
63 BC 	 ['March 44 BC']
Saturday 13 February 1937 	 ['six months']
TAG Heuer - branded Renault 	 ['Louis Renault']
WGL-4 	 ['WGL-4 with 652 characters']
Members of the Lok Sabha 	 ['Parliament of India']
Harvard University 	 ['Harvard']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
Western Europe 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
179,413 	 ['165,521']
Mattel 	 ['Elliot Handler']
President 	 ['Arkansas Attorney General']
Atlantic 	 ['RCA Records', 'RCA']
Trajan 	 ['Marcia']
The Near East. 	 ['"the East Indies"', 'East Indies']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island. 	 ['Seth Magaziner']
Jiankang. 	 ['Qiantang']
