2025-08-24 07:15:29 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:15:29 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w04.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.16s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.24s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.25s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.20it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.02it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:15,  3.15s/it]Evaluation:   8%|▊         | 2/25 [00:04<00:54,  2.37s/it]Evaluation:  12%|█▏        | 3/25 [00:06<00:46,  2.13s/it]Evaluation:  16%|█▌        | 4/25 [00:08<00:44,  2.13s/it]Evaluation:  20%|██        | 5/25 [00:10<00:41,  2.07s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:49,  2.60s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:46,  2.59s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:43,  2.54s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:34,  2.13s/it]Evaluation:  40%|████      | 10/25 [00:22<00:30,  2.04s/it]Evaluation:  44%|████▍     | 11/25 [00:23<00:23,  1.71s/it]Evaluation:  48%|████▊     | 12/25 [00:24<00:19,  1.51s/it]Evaluation:  52%|█████▏    | 13/25 [00:25<00:16,  1.37s/it]Evaluation:  56%|█████▌    | 14/25 [00:26<00:13,  1.22s/it]Evaluation:  60%|██████    | 15/25 [00:27<00:10,  1.06s/it]Evaluation:  64%|██████▍   | 16/25 [00:28<00:09,  1.01s/it]Evaluation:  68%|██████▊   | 17/25 [00:29<00:07,  1.03it/s]Evaluation:  72%|███████▏  | 18/25 [00:30<00:06,  1.02it/s]Evaluation:  76%|███████▌  | 19/25 [00:31<00:06,  1.02s/it]Evaluation:  80%|████████  | 20/25 [00:32<00:04,  1.01it/s]Evaluation:  84%|████████▍ | 21/25 [00:33<00:04,  1.03s/it]Evaluation:  88%|████████▊ | 22/25 [00:34<00:03,  1.02s/it]Evaluation:  92%|█████████▏| 23/25 [00:35<00:02,  1.00s/it]Evaluation:  96%|█████████▌| 24/25 [00:36<00:01,  1.09s/it]Evaluation: 100%|██████████| 25/25 [00:38<00:00,  1.52s/it]Evaluation: 100%|██████████| 25/25 [00:38<00:00,  1.56s/it]
2025-08-24 07:16:21 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:16:21 INFO: - n_context: 5
2025-08-24 07:16:21 INFO: - context_type: triples
2025-08-24 07:16:21 INFO: - {'exact_match': 0.48, 'f1': 0.5075079365079365, 'precision': 0.5325, 'recall': 0.5035952380952381, 'avg_num_tokens': 156.21}
2025-08-24 07:16:21 INFO: - ================================================================
March 1855 	 ['April 1858']
France 	 ['Chinese']
hotel and restaurant 	 ['hotels', 'Hotel', 'hotel']
3 	 ['three']
Beijing 	 ['Dorgon']
Christians 	 ['a red cross on a white field', 'Red Cross']
Soviet Union 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
There is no composer mentioned in the context, and the question is about Ganashatru, which is a play, not 	 ['Visva-Bharati University']
Sicily 	 ['1773']
Iraj Zebardast. 	 ['Kurdish people']
Asia 	 ['Central Asia']
Michelangelo 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Karstadt 	 ['KaDeWe']
Laughery Creek 	 ['Ohio River']
There is no information provided about the unification of the country where Tamparuli is found. The context only provides information 	 ['1963']
By a considerable margin. 	 ["Europe's most innovative country", 'Europe']
August 30, 1980 	 ['December 1917']
1910 	 ['1895']
Australia 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
church 	 ['temple, now a church', 'Temple', 'temple']
never. 	 ['1909']
24 hours 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
No one. 	 ['Charles Carroll']
Monte Porzio Catone 	 ['Castel Gandolfo']
Maryland 	 ['Charles Carroll']
Wendy Treece Douglas 	 ['Catherine Zeta-Jones']
tsampa 	 ['yak meat']
Lewis Range 	 ['Rocky Mountains']
Mariner 10 	 ['Voyager probes']
63 BC 	 ['March 44 BC']
13 February 1937 	 ['six months']
Hawaii 	 ['808']
TAG Heuer 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
The Speaker of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
month-long 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Veterans Stadium 	 ['Lincoln Financial Field']
Rafina 	 ['Amna Ilyas']
Western Europe 	 ['off the north - western coast of the European mainland']
British Virgin Islands 	 ['a key part of the Spanish Empire']
President 	 ['Arkansas Attorney General']
The Voice That Is! 	 ['RCA Records', 'RCA']
Trajan 	 ['Marcia']
Near East 	 ['"the East Indies"', 'East Indies']
Nintendo 	 ['first-party games']
Seth Magaziner, Rhode Island. 	 ['Seth Magaziner']
Bianjing 	 ['Qiantang']
