2025-08-24 03:01:52 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:01:52 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w07.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.20s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.27s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.28s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.17it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.00s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:13,  3.07s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:04,  2.79s/it]Evaluation:  12%|█▏        | 3/25 [00:08<00:57,  2.61s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:47,  2.25s/it]Evaluation:  20%|██        | 5/25 [00:11<00:41,  2.08s/it]Evaluation:  24%|██▍       | 6/25 [00:13<00:42,  2.21s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:40,  2.22s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:38,  2.25s/it]Evaluation:  36%|███▌      | 9/25 [00:20<00:33,  2.09s/it]Evaluation:  40%|████      | 10/25 [00:22<00:34,  2.28s/it]Evaluation:  44%|████▍     | 11/25 [00:24<00:28,  2.03s/it]Evaluation:  48%|████▊     | 12/25 [00:26<00:27,  2.10s/it]Evaluation:  52%|█████▏    | 13/25 [00:28<00:23,  1.94s/it]Evaluation:  56%|█████▌    | 14/25 [00:30<00:21,  1.91s/it]Evaluation:  60%|██████    | 15/25 [00:31<00:18,  1.84s/it]Evaluation:  64%|██████▍   | 16/25 [00:33<00:16,  1.80s/it]Evaluation:  68%|██████▊   | 17/25 [00:35<00:15,  1.88s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:12,  1.79s/it]Evaluation:  76%|███████▌  | 19/25 [00:39<00:11,  1.95s/it]Evaluation:  80%|████████  | 20/25 [00:42<00:10,  2.14s/it]Evaluation:  84%|████████▍ | 21/25 [00:44<00:08,  2.14s/it]Evaluation:  88%|████████▊ | 22/25 [00:45<00:05,  1.99s/it]Evaluation:  92%|█████████▏| 23/25 [00:47<00:03,  1.94s/it]Evaluation:  96%|█████████▌| 24/25 [00:49<00:01,  1.97s/it]Evaluation: 100%|██████████| 25/25 [00:51<00:00,  1.87s/it]Evaluation: 100%|██████████| 25/25 [00:51<00:00,  2.05s/it]
2025-08-24 03:02:57 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:02:57 INFO: - n_context: 5
2025-08-24 03:02:57 INFO: - context_type: triples
2025-08-24 03:02:57 INFO: - {'exact_match': 0.73, 'f1': 0.7618181818181817, 'precision': 0.7526666666666667, 'recall': 0.79, 'avg_num_tokens': 127.7}
2025-08-24 03:02:57 INFO: - ================================================================
Yes. 	 ['no']
Execution by hanging. 	 ['hanging']
Swerve (film) 	 ['Innale']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
1950 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Tell Me I'm Dreaming 	 ['An Odyssey Of The North']
Amor a primera vista 	 ['The Cuban Love Song']
Eisenach, Germany 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Yes 	 ['no']
Indian 	 ['India']
Heather D. Gibson 	 ['Anne Brooksbank']
No 	 ['yes']
United States 	 ['American']
Chinese 	 ['no']
November 5, 1970 	 ['Auckland']
Shot and killed in the archway of his Manhattan apartment building. 	 ['shot']
1918 	 ['Beauty And The Rogue']
Yes 	 ['no']
No 	 ['yes']
American 	 ['America']
