nohup: ignoring input
2025-08-07 11:38:29 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-07 11:38:29 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/dev100_with_reasoning_chains_modify_idea.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:05<00:15,  5.28s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:06<00:06,  3.15s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:08<00:02,  2.34s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  1.55s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  2.16s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:03<01:17,  3.25s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:06,  2.91s/it]Evaluation:  12%|█▏        | 3/25 [00:08<01:03,  2.90s/it]Evaluation:  16%|█▌        | 4/25 [00:10<00:52,  2.52s/it]Evaluation:  20%|██        | 5/25 [00:12<00:46,  2.33s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:43,  2.27s/it]Evaluation:  28%|██▊       | 7/25 [00:17<00:43,  2.43s/it]Evaluation:  32%|███▏      | 8/25 [00:19<00:40,  2.39s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:35,  2.21s/it]Evaluation:  40%|████      | 10/25 [00:25<00:38,  2.53s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:32,  2.31s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:29,  2.25s/it]Evaluation:  52%|█████▏    | 13/25 [00:33<00:35,  3.00s/it]Evaluation:  56%|█████▌    | 14/25 [00:37<00:36,  3.30s/it]Evaluation:  60%|██████    | 15/25 [00:41<00:33,  3.32s/it]Evaluation:  64%|██████▍   | 16/25 [00:43<00:26,  2.93s/it]Evaluation:  68%|██████▊   | 17/25 [00:45<00:22,  2.75s/it]Evaluation:  72%|███████▏  | 18/25 [00:47<00:17,  2.51s/it]Evaluation:  76%|███████▌  | 19/25 [00:49<00:14,  2.39s/it]Evaluation:  80%|████████  | 20/25 [00:52<00:13,  2.60s/it]Evaluation:  84%|████████▍ | 21/25 [00:56<00:11,  2.92s/it]Evaluation:  88%|████████▊ | 22/25 [01:00<00:10,  3.39s/it]Evaluation:  92%|█████████▏| 23/25 [01:04<00:06,  3.49s/it]Evaluation:  96%|█████████▌| 24/25 [01:09<00:04,  4.02s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  4.02s/it]Evaluation: 100%|██████████| 25/25 [01:13<00:00,  2.95s/it]
2025-08-07 11:40:01 INFO: - ====================== Evaluation Results ======================
2025-08-07 11:40:01 INFO: - n_context: 5
2025-08-07 11:40:01 INFO: - context_type: documents
2025-08-07 11:40:01 INFO: - {'exact_match': 0.47, 'f1': 0.5238290043290044, 'precision': 0.5233809523809524, 'recall': 0.5271666666666667, 'avg_num_tokens': 406.43}
2025-08-07 11:40:01 INFO: - ================================================================
Boston College 	 ['University of Delaware']
None, the question is not answered in the provided context. 	 ['NBC']
Flowering plants. 	 ['genus']
Kirk Fogg 	 ['Jeff Sutphen']
The Forest of Bowland. 	 ['the Bowland Fells']
Queen 	 ['Daft Punk']
Both Borassodendron and Chelidonium are genera of flowering plants. 	 ['plant']
Preity Zinta 	 ['Soha Ali Khan']
no 	 ['yes']
Phebalium 	 ['Ariocarpus']
1,042 	 ['761']
1852 	 ['1904']
1989 	 ['fifth album']
Middleweight 	 ['Welterweight']
Wide receiver. 	 ['quarterback']
The New York Yankees. 	 ['Texas Rangers']
Germanic, Baltic, Thracian, Slavic, Hungarian, and Romanian. 	 ['Germanic, Baltic and Thracian tribes']
11 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
United Kingdom 	 ['Ireland']
58 to 64 passengers. 	 ['72-78']
George Washington 	 ['Benedict Arnold']
Hisahito, Prince Akishino. 	 ['Aiko, Princess Toshi']
Naseem Hamed 	 ['Marco Antonio Barrera']
British 	 ['American']
Barack Obama 	 ['Hillary Clinton']
Sehnsucht 	 ['Herzeleid']
Mohamed Elneny. 	 ['Ahmed Elmohamady']
"live-action" 	 ['animation']
The Royal Air Force (RAF). 	 ['British Armed Forces']
Vydubychi Hill 	 ['Cherepanov Hill']
Julien Benneteau 	 ['"Arantxa" Sánchez Vicario']
1968 	 ['1939']
1964 	 ['1962']
Aquatium 	 ['Metreon']
Rolandas Paksas. 	 ['Viktor Uspaskich']
The Verve. 	 ['Spacemen 3']
formulate the classical theory of electromagnetic radiation 	 ['classical theory of electromagnetic radiation']
"The Country Bears" 	 ['The London Connection']
Canadian 	 ['Mexican']
no 	 ['yes']
Pizza Inn 	 ['Extreme Pizza']
Tina Turner (Anna Mae Bullock) 	 ['Anna Mae Bullock']
Blaik Field. 	 ['Michie Stadium']
Angela Nissel 	 ['Angela R. Nissel']
Michael Schumacher. 	 ['Alessandro Nannini']
Theo van Gogh 	 ['Theodorus "Theo" van Gogh']
no 	 ['yes']
Ludovico Einaudi has performed with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
dancer 	 ['actress']
London 	 ['Amsterdam']
yes 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
