2025-08-23 15:17:51 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-23 15:17:51 INFO: - Loading data from /home/jiangjp/trace-idea/data/hotpotqa/hotpotqa_dev100ideal_with_reasoning_chains_modify_w06.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.23s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.31s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:04<00:01,  1.44s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.04it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.11s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:31,  1.33s/it]Evaluation:   8%|▊         | 2/25 [00:02<00:29,  1.29s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:33,  1.52s/it]Evaluation:  16%|█▌        | 4/25 [00:06<00:36,  1.75s/it]Evaluation:  20%|██        | 5/25 [00:08<00:37,  1.89s/it]Evaluation:  24%|██▍       | 6/25 [00:10<00:37,  1.95s/it]Evaluation:  28%|██▊       | 7/25 [00:12<00:36,  2.01s/it]Evaluation:  32%|███▏      | 8/25 [00:15<00:36,  2.14s/it]Evaluation:  36%|███▌      | 9/25 [00:18<00:37,  2.34s/it]Evaluation:  40%|████      | 10/25 [00:20<00:35,  2.35s/it]Evaluation:  44%|████▍     | 11/25 [00:22<00:31,  2.26s/it]Evaluation:  48%|████▊     | 12/25 [00:24<00:28,  2.20s/it]Evaluation:  52%|█████▏    | 13/25 [00:26<00:24,  2.06s/it]Evaluation:  56%|█████▌    | 14/25 [00:28<00:23,  2.15s/it]Evaluation:  60%|██████    | 15/25 [00:30<00:21,  2.17s/it]Evaluation:  64%|██████▍   | 16/25 [00:32<00:18,  2.06s/it]Evaluation:  68%|██████▊   | 17/25 [00:35<00:17,  2.20s/it]Evaluation:  72%|███████▏  | 18/25 [00:37<00:15,  2.17s/it]Evaluation:  76%|███████▌  | 19/25 [00:39<00:13,  2.30s/it]Evaluation:  80%|████████  | 20/25 [00:41<00:11,  2.23s/it]Evaluation:  84%|████████▍ | 21/25 [00:43<00:08,  2.17s/it]Evaluation:  88%|████████▊ | 22/25 [00:46<00:06,  2.13s/it]Evaluation:  92%|█████████▏| 23/25 [00:47<00:04,  2.08s/it]Evaluation:  96%|█████████▌| 24/25 [00:51<00:02,  2.54s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.50s/it]Evaluation: 100%|██████████| 25/25 [00:53<00:00,  2.16s/it]
2025-08-23 15:19:02 INFO: - ====================== Evaluation Results ======================
2025-08-23 15:19:02 INFO: - n_context: 5
2025-08-23 15:19:02 INFO: - context_type: triples
2025-08-23 15:19:02 INFO: - {'exact_match': 0.73, 'f1': 0.7648571428571429, 'precision': 0.7685, 'recall': 0.7758333333333333, 'avg_num_tokens': 153.86}
2025-08-23 15:19:02 INFO: - ================================================================
Boston College 	 ['University of Delaware']
 Canal+ 	 ['NBC']
plant genus 	 ['genus']
Kirk Fogg. 	 ['Jeff Sutphen']
2003 	 ['20 March to 1 May 2003']
A genus of flowering plant. 	 ['plant']
Archbishop Gilday 	 ['Paul Marcinkus']
1852 	 ['1904']
Northwestern University 	 ['Beverly Hills High School']
1989 	 ['fifth album']
4 	 ['Their biggest hit was "Tall Cool One", first released in 1959']
Jawaharlal Nehru 	 ['first Prime Minister of India']
Naseem Hamed 	 ['Marco Antonio Barrera']
Humber Refinery. 	 ['the A160']
Rammstein 	 ['Herzeleid']
3D animation 	 ['animation']
1966 	 ['1939']
Harbor Bridge Project 	 ['Metreon']
1979 	 ['The London Connection']
American 	 ['Mexican']
Angela Nissel 	 ['Angela R. Nissel']
Houston, Texas 	 ['Netherlands']
Theo van Gogh (art dealer) 	 ['Theodorus "Theo" van Gogh']
Ludovico Einaudi has performed with Canzoniere Grecanico Salentino. 	 ['Italian pianist and composer']
Jang Yoon Jeong, Super Junior-T, Daesung, Joy, Hong Jin-young. 	 ['actress']
Yes 	 ['no']
On the Road with Austin and Santino. 	 ['Project Runway']
