2025-08-24 02:55:03 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 02:55:03 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w00.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.16s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.24s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.26s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.20it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.02it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:01<00:45,  1.89s/it]Evaluation:   8%|▊         | 2/25 [00:03<00:39,  1.72s/it]Evaluation:  12%|█▏        | 3/25 [00:04<00:33,  1.52s/it]Evaluation:  16%|█▌        | 4/25 [00:05<00:27,  1.33s/it]Evaluation:  20%|██        | 5/25 [00:06<00:22,  1.12s/it]Evaluation:  24%|██▍       | 6/25 [00:07<00:19,  1.01s/it]Evaluation:  28%|██▊       | 7/25 [00:08<00:17,  1.01it/s]Evaluation:  32%|███▏      | 8/25 [00:09<00:16,  1.02it/s]Evaluation:  36%|███▌      | 9/25 [00:10<00:15,  1.04it/s]Evaluation:  40%|████      | 10/25 [00:11<00:16,  1.13s/it]Evaluation:  44%|████▍     | 11/25 [00:12<00:14,  1.07s/it]Evaluation:  48%|████▊     | 12/25 [00:13<00:14,  1.13s/it]Evaluation:  52%|█████▏    | 13/25 [00:14<00:12,  1.01s/it]Evaluation:  56%|█████▌    | 14/25 [00:15<00:10,  1.05it/s]Evaluation:  60%|██████    | 15/25 [00:16<00:09,  1.09it/s]Evaluation:  64%|██████▍   | 16/25 [00:17<00:08,  1.12it/s]Evaluation:  68%|██████▊   | 17/25 [00:18<00:07,  1.01it/s]Evaluation:  72%|███████▏  | 18/25 [00:19<00:06,  1.06it/s]Evaluation:  76%|███████▌  | 19/25 [00:20<00:06,  1.10s/it]Evaluation:  80%|████████  | 20/25 [00:22<00:05,  1.18s/it]Evaluation:  84%|████████▍ | 21/25 [00:23<00:05,  1.31s/it]Evaluation:  88%|████████▊ | 22/25 [00:25<00:04,  1.38s/it]Evaluation:  92%|█████████▏| 23/25 [00:26<00:02,  1.26s/it]Evaluation:  96%|█████████▌| 24/25 [00:26<00:01,  1.12s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.01s/it]Evaluation: 100%|██████████| 25/25 [00:27<00:00,  1.11s/it]
2025-08-24 02:55:42 INFO: - ====================== Evaluation Results ======================
2025-08-24 02:55:42 INFO: - n_context: 5
2025-08-24 02:55:42 INFO: - context_type: triples
2025-08-24 02:55:42 INFO: - {'exact_match': 0.45, 'f1': 0.47515151515151516, 'precision': 0.47028113553113554, 'recall': 0.4966666666666667, 'avg_num_tokens': 141.85}
2025-08-24 02:55:42 INFO: - ================================================================
American 	 ['no']
Mike Figgis is still alive, so there is no date of death. 	 ['12 April 1942']
There is no director named George Waggner who directed a film called "Guilty Trails" with a release date of October 	 ['December 11, 1984']
Swerve (film) 	 ['Innale']
John, Duke of Berry's father died in 1364. 	 ['8 April 1364']
There is not enough information to determine when Ramón Pereda's wife died. 	 ['August 20, 2004']
Ernst Torp 	 ['Lucien Guitry']
Almaty, Kazakhstan 	 ['Dutch']
Fredrikstad 	 ['Karaikudi']
Yes 	 ['no']
9 July 1956 	 ['20 May 1943']
Deir el-Medina 	 ['Asahikawa']
1895 	 ['4 December 1922']
Italy 	 ['India']
Ian Barry 	 ['Irwin Winkler']
Yes 	 ['no']
Australia 	 ['American']
November 5, 1970 	 ['Worthing']
Half Past Dead (2002) 	 ['Half Past Dead']
Ryan Peters 	 ['Ekk Deewana Tha']
Punjab 	 ['Melbourne']
Amor a primera vista. 	 ['The Cuban Love Song']
Peregrine Bertie, 3rd Duke of Ancaster and Kesteven 	 ['Thomas Panton']
Australian 	 ['British']
13 November 1959 	 ['15 July 1948']
Gordon Flemyng died in 1995. 	 ['12 July 1995']
Maya Bazaar (1995 Film) 	 ['3688']
There is no information provided about Margarita Fischer's death date. 	 ['March 11, 1975']
Sweden 	 ['Eisenach']
1950 	 ['7 May 1940']
1921 	 ['A Gentleman Of France']
Yes. 	 ['no']
Yes 	 ['no']
October 24, 1957 	 ['4 April 1957']
Indian 	 ['India']
Bronx 	 ['Lisbon']
Gustavo Couttolenc 	 ['Peter Diversi']
There is no mention of "Already Famous" in the given context. 	 ['Cape Forlorn']
11 November 1991 	 ['Auckland']
Neither Hermann Speelmans nor Leopoldo Penna Franca is mentioned in the given context. The context only 	 ['Hermann Speelmans']
No 	 ['yes']
Unfortunately, the context does not provide information about Jagdeep Singh Deo's father's education or where he studied. 	 ['National University of Singapore']
Assassination. 	 ['shot']
Yes. 	 ['no']
Not provided. 	 ['22 September 1896']
William Wyler was born on July 1, 1902. The Heiress was released in 1949. 	 ['The Heiress']
Archduke Joseph August of Austria 	 ['Edith Posca']
There is no information provided about Ken Sears' father, so it's impossible to determine the date of his death. 	 ['December 16, 1956']
1950 	 ['October 28, 1953']
Beauty and the Beast (2005 film) 	 ['Beauty And The Rogue']
Yes 	 ['no']
American 	 ['Moscow']
Australian 	 ['no']
No 	 ['yes']
American 	 ['America']
