2025-08-24 03:00:38 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 03:00:38 INFO: - Loading data from /home/jiangjp/trace-idea/data/2wikimultihopqa/wiki_dev100ideal_with_reasoning_chains_modify_w06.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.13s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.22s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.22s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.22it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.04it/s]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:02<01:10,  2.93s/it]Evaluation:   8%|▊         | 2/25 [00:05<01:04,  2.79s/it]Evaluation:  12%|█▏        | 3/25 [00:07<00:56,  2.57s/it]Evaluation:  16%|█▌        | 4/25 [00:09<00:48,  2.32s/it]Evaluation:  20%|██        | 5/25 [00:11<00:42,  2.13s/it]Evaluation:  24%|██▍       | 6/25 [00:14<00:42,  2.25s/it]Evaluation:  28%|██▊       | 7/25 [00:16<00:40,  2.25s/it]Evaluation:  32%|███▏      | 8/25 [00:18<00:39,  2.32s/it]Evaluation:  36%|███▌      | 9/25 [00:21<00:36,  2.29s/it]Evaluation:  40%|████      | 10/25 [00:23<00:37,  2.47s/it]Evaluation:  44%|████▍     | 11/25 [00:26<00:33,  2.37s/it]Evaluation:  48%|████▊     | 12/25 [00:28<00:32,  2.49s/it]Evaluation:  52%|█████▏    | 13/25 [00:30<00:27,  2.33s/it]Evaluation:  56%|█████▌    | 14/25 [00:32<00:24,  2.22s/it]Evaluation:  60%|██████    | 15/25 [00:34<00:21,  2.14s/it]Evaluation:  64%|██████▍   | 16/25 [00:36<00:18,  2.04s/it]Evaluation:  68%|██████▊   | 17/25 [00:39<00:18,  2.34s/it]Evaluation:  72%|███████▏  | 18/25 [00:41<00:14,  2.11s/it]Evaluation:  76%|███████▌  | 19/25 [00:43<00:12,  2.15s/it]Evaluation:  80%|████████  | 20/25 [00:46<00:12,  2.46s/it]Evaluation:  84%|████████▍ | 21/25 [00:49<00:10,  2.71s/it]Evaluation:  88%|████████▊ | 22/25 [00:52<00:07,  2.54s/it]Evaluation:  92%|█████████▏| 23/25 [00:54<00:04,  2.43s/it]Evaluation:  96%|█████████▌| 24/25 [00:56<00:02,  2.29s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.26s/it]Evaluation: 100%|██████████| 25/25 [00:58<00:00,  2.33s/it]
2025-08-24 03:01:50 INFO: - ====================== Evaluation Results ======================
2025-08-24 03:01:50 INFO: - n_context: 5
2025-08-24 03:01:50 INFO: - context_type: triples
2025-08-24 03:01:50 INFO: - {'exact_match': 0.73, 'f1': 0.7629166666666666, 'precision': 0.7543333333333334, 'recall': 0.795, 'avg_num_tokens': 154.41}
2025-08-24 03:01:50 INFO: - ================================================================
Yes. 	 ['no']
Execution by hanging. 	 ['hanging']
Yes. 	 ['no']
Swerve (Film) 	 ['Innale']
Yes 	 ['no']
Eindhoven 	 ['Dutch']
Asahikawa, Hokkaidō, Japan 	 ['Asahikawa']
Not mentioned. 	 ['4 December 1922']
British-born American 	 ['American']
Worthing, Sussex 	 ['Worthing']
United States 	 ['American']
19 April 2004 	 ['Melbourne']
Mary Panton 	 ['Thomas Panton']
Fårö 	 ['Eisenach']
1921 	 ['A Gentleman Of France']
Yes 	 ['no']
Indian 	 ['India']
No. 	 ['yes']
United States 	 ['American']
There is no mention of Cape Forlorn in the given context. 	 ['Cape Forlorn']
November 5, 1970 	 ['Auckland']
shot and killed in the archway of his Manhattan apartment building three weeks after the album's release 	 ['shot']
Yes. 	 ['no']
1918 	 ['Beauty And The Rogue']
Yes. 	 ['no']
No 	 ['yes']
American 	 ['America']
