2025-08-24 07:20:31 INFO: - Rank: -1, Saving log file to checkpoint/llama3/prediction.log ...
2025-08-24 07:20:31 INFO: - Loading data from /home/jiangjp/trace-idea/data/musique/musique_dev100ideal_with_reasoning_chains_modify_w04.json ... 
loading tokenizer for "/home/jiangjp/models/Meta-Llama-3-8B-Instruct" with padding_side: "left"
Missing padding token, setting padding token to eos_token
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.22s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.27s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.28s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.16it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:04<00:00,  1.01s/it]
Evaluation:   0%|          | 0/25 [00:00<?, ?it/s]/home/jiangjp/miniconda3/envs/trace/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:497: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.9` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
Evaluation:   4%|▍         | 1/25 [00:04<01:38,  4.12s/it]Evaluation:   8%|▊         | 2/25 [00:07<01:21,  3.53s/it]Evaluation:  12%|█▏        | 3/25 [00:08<00:56,  2.55s/it]Evaluation:  16%|█▌        | 4/25 [00:10<00:47,  2.27s/it]Evaluation:  20%|██        | 5/25 [00:12<00:46,  2.30s/it]Evaluation:  24%|██▍       | 6/25 [00:20<01:20,  4.23s/it]Evaluation:  28%|██▊       | 7/25 [00:29<01:41,  5.66s/it]Evaluation:  32%|███▏      | 8/25 [00:37<01:49,  6.43s/it]Evaluation:  36%|███▌      | 9/25 [00:41<01:30,  5.63s/it]Evaluation:  40%|████      | 10/25 [00:48<01:32,  6.16s/it]Evaluation:  44%|████▍     | 11/25 [00:52<01:16,  5.49s/it]Evaluation:  48%|████▊     | 12/25 [00:59<01:17,  5.97s/it]Evaluation:  52%|█████▏    | 13/25 [01:05<01:09,  5.78s/it]Evaluation:  56%|█████▌    | 14/25 [01:08<00:56,  5.14s/it]Evaluation:  60%|██████    | 15/25 [01:10<00:41,  4.12s/it]Evaluation:  64%|██████▍   | 16/25 [01:14<00:35,  3.94s/it]Evaluation:  68%|██████▊   | 17/25 [01:16<00:27,  3.42s/it]Evaluation:  72%|███████▏  | 18/25 [01:18<00:21,  3.14s/it]Evaluation:  76%|███████▌  | 19/25 [01:22<00:19,  3.19s/it]Evaluation:  80%|████████  | 20/25 [01:23<00:13,  2.73s/it]Evaluation:  84%|████████▍ | 21/25 [01:26<00:11,  2.91s/it]Evaluation:  88%|████████▊ | 22/25 [01:29<00:08,  2.81s/it]Evaluation:  92%|█████████▏| 23/25 [01:32<00:05,  2.80s/it]Evaluation:  96%|█████████▌| 24/25 [01:35<00:02,  2.91s/it]Evaluation: 100%|██████████| 25/25 [01:39<00:00,  3.31s/it]Evaluation: 100%|██████████| 25/25 [01:39<00:00,  3.99s/it]
2025-08-24 07:22:24 INFO: - ====================== Evaluation Results ======================
2025-08-24 07:22:24 INFO: - n_context: 5
2025-08-24 07:22:24 INFO: - context_type: documents
2025-08-24 07:22:24 INFO: - {'exact_match': 0.44, 'f1': 0.4974848484848484, 'precision': 0.5206666666666666, 'recall': 0.49566666666666664, 'avg_num_tokens': 423.78}
2025-08-24 07:22:24 INFO: - ================================================================
1858 	 ['April 1858']
None of the provided contexts mention peace talks in Geneva with a country that approved the name of the planet that features the Small Dark 	 ['Chinese']
According to the context, the Mississippi River begins in Lake Itasca in northern Minnesota. According to the first context, Minnesota's 	 ['1.7 million']
Hotel and restaurant. 	 ['hotels', 'Hotel', 'hotel']
University of Central Florida. 	 ['University of Nebraska']
3 	 ['three']
1898 	 ['August 12, 1898']
Beijing 	 ['Dorgon']
Christians. 	 ['a red cross on a white field', 'Red Cross']
Columbia Records. 	 ['Warner Bros.']
South Korea 	 ['KPA']
27 BC 	 ['establishment of the Roman Empire.', 'Roman Empire']
Not mentioned. 	 ['Visva-Bharati University']
There is no mention of the XXX Corps invading an island in the given context. 	 ['1773']
St. John's. 	 ['eastern tip']
Asia 	 ['Central Asia']
There is no mention of the performer of "Walk on the Wild Side" in the given contexts. The contexts are about Lucky 	 ['Syracuse University', 'Cuse', 'SU']
Italian High Renaissance master 	 ['Italian painter']
John Lennon 	 ['Alfred Lennon']
Macy's 	 ['KaDeWe']
Not mentioned in the provided texts. 	 ['1960']
May 14, 2015 	 ['September 25, 2014']
Laughery Creek 	 ['Ohio River']
The European Union. 	 ["Europe's most innovative country", 'Europe']
Alanders did not rejoin the country. 	 ['December 1917']
Not applicable, as the question is unclear and does not specify the president's father. 	 ['1895']
The flag of Australia has one star. 	 ['represented the island of Puerto Rico', 'PR', 'Puerto Rico']
a church 	 ['temple, now a church', 'Temple', 'temple']
Britain 	 ['1909']
23:00 	 ['24 hours a day']
Rhode Island. 	 ['Rhode Island Department of Transportation', 'RIDOT']
None of the signers of the Declaration of Independence were from the state where Keedy House is located, which is Maryland. 	 ['Charles Carroll']
Monte Porzio Catone 	 ['Castel Gandolfo']
Maryland 	 ['Charles Carroll']
Widower. 	 ['Catherine Zeta-Jones']
Barley. 	 ['yak meat']
The Lewis Range. 	 ['Rocky Mountains']
Not mentioned in the provided texts. 	 ['5th–6th centuries', '6th century', '6th-century']
Julius Caesar 	 ['March 44 BC']
Renault 	 ['Louis Renault']
UTF-16 	 ['WGL-4 with 652 characters']
The members of the Lok Sabha. 	 ['Parliament of India']
Harvard University 	 ['Harvard']
A month-long affair. 	 ['a month', 'Month', 'month']
No. 	 ['totals remain relatively small in relation to the total U.S population.', 'the US', 'America', 'U.S.', 'the United States', 'United States', 'US']
Hertfordshire, United Kingdom 	 ['off the north - western coast of the European mainland']
Puerto Rico 	 ['a key part of the Spanish Empire']
Fort Lauderdale 	 ['165,521']
Arun Jaitley 	 ['Sudhir Mungantiwar']
Mattel. 	 ['Elliot Handler']
Andrew Johnson 	 ['Arkansas Attorney General']
Trajan 	 ['Marcia']
Nintendo 	 ['first-party games']
Giorgio de Chirico 	 ['Alberto Savinio']
Seth Magaziner, Rhode Island 	 ['Seth Magaziner']
Jiankang 	 ['Qiantang']
